dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label,attack_cat
0.001716,udp,-,con,4,4,520,304,4079.254013,31,29,1818181.75,1062937.0,0,0,0.448333,0.201,0.629089,0.277899,0,0,0,0,0.0,0.0,0.0,130,76,0,0,2,0,4,1,1,3,0,0,0,2,9,0,0,Normal
0.001059,udp,dns,con,2,2,130,162,2832.861107,31,29,491029.25,611898.0,0,0,0.01,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,5,1,1,1,0,0,0,3,3,0,0,Normal
0.592718,tcp,-,fin,10,6,674,268,25.307144,254,252,8192.766602,3023.360107,2,1,64.392556,101.236602,3687.460909,168.876891,255,595978319,3687331656,255,0.117064,0.086526,0.030538,67,45,0,0,7,1,1,1,1,6,0,0,0,1,6,0,0,Normal
0.182082,tcp,-,fin,96,98,5486,92746,1059.96201,31,29,238529.8906,4033347.75,7,42,1.91261,1.872062,103.64574,101.963043,255,4066130185,4151723884,255,0.00062,0.000487,0.000133,57,946,0,0,3,0,2,1,1,1,0,0,0,2,6,0,0,Normal
0.001026,udp,dns,con,2,2,146,178,2923.976572,31,29,569200.75,693957.125,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,9,0,2,5,1,1,0,0,0,6,2,0,0,Normal
0.591358,tcp,-,fin,10,6,718,268,25.365345,254,252,8752.735352,3030.313232,2,1,63.046111,104.164,3512.948615,172.135063,255,777809172,185255377,255,0.145078,0.07053,0.074548,72,45,0,0,7,1,1,1,1,2,0,0,0,2,2,0,1,Fuzzers
0.53346,tcp,-,fin,20,8,17286,354,50.612977,254,252,246271.5,4648.895508,7,1,26.643054,66.57157,2583.677325,91.884266,255,4149826167,399067053,255,0.112161,0.067454,0.044707,864,44,0,0,7,1,1,1,1,6,0,0,0,2,6,0,1,Fuzzers
0.001021,udp,dns,con,2,2,130,162,2938.295862,31,29,509304.625,634671.875,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,3,1,1,1,0,0,0,3,4,0,0,Normal
0.377452,tcp,-,fin,10,6,534,268,39.740154,254,252,10194.67383,4747.623535,2,1,41.939111,60.395801,2085.818399,95.143563,255,893635936,4239024465,255,0.132206,0.074836,0.05737,53,45,0,0,9,1,3,3,1,9,0,0,0,3,9,0,0,Normal
1.2e-05,udp,-,int,3,0,3028,0,166666.6608,254,0,1346000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1009,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,1,Fuzzers
