attack_cat,dur,sbytes,dbytes,spkts,dpkts,rate,sttl,tcprtt
Analysis,0.723846,818.0,1158.0,10.0,8.0,24.112723,62.0,0.129755
Backdoor,0.284979,364.0,268.0,8.0,6.0,50.509131,254.0,0.049036
DoS,0.544179,846.0,962.0,10.0,8.0,46.493946,254.0,0.080909
Exploits,0.895677,1128.0,1728.0,12.0,10.0,35.569292,62.0,0.112129
Fuzzers,0.677138,994.0,354.0,10.0,8.0,29.611262,254.0,0.126088
Generic,8e-06,114.0,0.0,2.0,0.0,125000.0003,254.0,0.0
Normal,0.046413,1540.0,1644.0,14.0,12.0,1495.271915,31.0,0.000654
Reconnaissance,0.692833,564.0,354.0,10.0,8.0,24.258855,254.0,0.090216
Shellcode,0.1721985,542.0,268.0,10.0,6.0,87.109131,254.0,0.031826999999999994
Worms,0.475679,1302.0,268.0,10.0,6.0,47.229962,254.0,0.12887
