experiment,model,display_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,roc_auc,pr_auc,brier,fit_seconds,search_seconds,throughput_flows_per_second,inference_ms_per_1k_rows,cv_f1_mean,cv_f1_std,cv_train_minus_test_f1,n_features_after_encoding
main,logistic_regression,Logistic Regression,0.5,0.744244,0.789478,0.590128,0.951691,0.728516,0.563526,21115,12547,917,18065,0.372735,0.048309,0.627265,52644,0.360573,0.581491,0.919288,0.878911,0.148679,6.852,89.27,280200.1,3.569,0.9045442785019562,0.002683410644815,0.00029,73.0
main,random_forest,Random Forest,0.5,0.824367,0.857254,0.678407,0.975187,0.800164,0.686626,24887,8775,471,18511,0.26068,0.024813,0.73932,52644,0.360573,0.518312,0.966856,0.949266,0.108794,16.62,1441.47,83001.0,12.048,0.930241914874616,0.0023338612162369,0.03964,73.0
main,xgboost,XGBoost,0.5,0.823095,0.853433,0.679982,0.962227,0.79685,0.678969,25066,8596,717,18265,0.255362,0.037773,0.744638,52644,0.360573,0.510239,0.967335,0.95259,0.115227,4.683,726.82,141012.3,7.092,0.9328293269583076,0.0022053901597309,0.04415,73.0
main,lightgbm,LightGBM,0.465,0.814775,0.846536,0.669494,0.960436,0.788999,0.665978,24662,9000,751,18231,0.267364,0.039564,0.732636,52644,0.360573,0.517267,0.964822,0.948511,0.133747,8.017,768.18,82395.8,12.137,0.9333081422627664,0.0015422380383163,0.06541,73.0
main,isolation_forest,Isolation Forest,0.5,0.646911,0.57705,0.516414,0.32652,0.400077,0.176372,27858,5804,12784,6198,0.17242,0.67348,0.82758,52644,0.360573,0.227984,0.679474,0.504735,0.218843,0.951,,58669.2,17.045,,,,
pooled_random,logistic_regression,Logistic Regression,0.5,0.866871,0.871573,0.81063,0.913429,0.858965,0.738441,14184,2911,1181,12461,0.170284,0.086571,0.829716,30737,0.44383,0.500114,0.95564,0.941464,0.084335,9.088,,232891.2,4.294,,,,73.0
pooled_random,random_forest,Random Forest,0.5,0.917103,0.916384,0.903888,0.909984,0.906926,0.832217,15775,1320,1228,12414,0.077216,0.090016,0.922784,30737,0.44383,0.446823,0.981086,0.977408,0.055599,22.112,,83680.5,11.95,,,,73.0
pooled_random,xgboost,XGBoost,0.48,0.921658,0.920383,0.913989,0.909031,0.911503,0.841236,15928,1167,1241,12401,0.068266,0.090969,0.931734,30737,0.44383,0.441422,0.982438,0.979144,0.052897,6.632,,142357.3,7.025,,,,73.0
pooled_random,lightgbm,LightGBM,0.5,0.922309,0.920279,0.92112,0.902214,0.911569,0.842448,16041,1054,1334,12308,0.061655,0.097786,0.938345,30737,0.44383,0.43472,0.982502,0.979331,0.05439,9.778,,79533.3,12.573,,,,73.0
pooled_random,isolation_forest,Isolation Forest,0.5,0.60611,0.567106,0.671892,0.219909,0.331364,0.189237,15630,1465,10642,3000,0.085698,0.780091,0.914302,30737,0.44383,0.145265,0.670664,0.591197,0.258443,1.374,,43885.4,22.787,,,,
keep_duplicates,logistic_regression,Logistic Regression,0.5,0.911555,0.892414,0.906093,0.961227,0.932846,0.806684,15319,3281,1277,31658,0.176398,0.038773,0.823602,51535,0.63908,0.677966,0.978804,0.987503,0.056397,15.322,,212396.0,4.708,,,,76.0
keep_duplicates,random_forest,Random Forest,0.5,0.944775,0.948194,0.97671,0.935904,0.955872,0.88362,17865,735,2111,30824,0.039516,0.064096,0.960484,51535,0.63908,0.61238,0.991315,0.995254,0.037179,37.344,,100426.5,9.958,,,,76.0
keep_duplicates,xgboost,XGBoost,0.5,0.949976,0.947395,0.964757,0.956672,0.960698,0.89197,17449,1151,1427,31508,0.061882,0.043328,0.938118,51535,0.63908,0.633725,0.992114,0.995685,0.034314,6.983,,172664.8,5.792,,,,76.0
keep_duplicates,lightgbm,LightGBM,0.56,0.952285,0.95256,0.973171,0.951571,0.96225,0.897861,17736,864,1595,31340,0.046452,0.048429,0.953548,51535,0.63908,0.624896,0.992502,0.995887,0.033695,9.716,,93798.8,10.661,,,,76.0
keep_duplicates,isolation_forest,Isolation Forest,0.5,0.668206,0.713034,0.885943,0.551875,0.6801,0.418027,16260,2340,14759,18176,0.125806,0.448125,0.874194,51535,0.63908,0.398098,0.806327,0.869383,0.216405,1.31,,54479.0,18.356,,,,
no_ttl,logistic_regression,Logistic Regression,0.5,0.724907,0.766661,0.574282,0.916394,0.706081,0.518087,20767,12895,1587,17395,0.383073,0.083606,0.616927,52644,0.360573,0.575374,0.852378,0.76921,0.181868,5.567,,204282.8,4.895,,,,70.0
no_ttl,random_forest,Random Forest,0.5,0.820454,0.853332,0.674274,0.971236,0.795959,0.679144,24756,8906,546,18436,0.264571,0.028764,0.735429,52644,0.360573,0.519375,0.964097,0.945113,0.110976,23.277,,79618.5,12.56,,,,70.0
no_ttl,xgboost,XGBoost,0.5,0.819353,0.849875,0.675746,0.95933,0.792946,0.672183,24924,8738,772,18210,0.259581,0.04067,0.740419,52644,0.360573,0.511891,0.964182,0.948439,0.117538,4.787,,140376.6,7.124,,,,70.0
no_ttl,lightgbm,LightGBM,0.425,0.804707,0.838698,0.656679,0.960594,0.780081,0.651509,24129,9533,748,18234,0.283198,0.039406,0.716802,52644,0.360573,0.527449,0.961742,0.944134,0.136096,7.555,,82045.3,12.188,,,,70.0
no_ttl,isolation_forest,Isolation Forest,0.5,0.653997,0.574894,0.537273,0.291223,0.377712,0.181375,28901,4761,13454,5528,0.141435,0.708777,0.858565,52644,0.360573,0.195445,0.636578,0.490929,0.233228,1.175,,52260.3,19.135,,,,
no_engineered,logistic_regression,Logistic Regression,0.5,0.745023,0.789938,0.590997,0.951006,0.728976,0.564182,21169,12493,930,18052,0.371131,0.048994,0.628869,52644,0.360573,0.580218,0.917735,0.875382,0.149776,2.389,,375894.3,2.66,,,,58.0
no_engineered,random_forest,Random Forest,0.5,0.818498,0.853284,0.670144,0.978032,0.79533,0.679477,24524,9138,417,18565,0.271463,0.021968,0.728537,52644,0.360573,0.526233,0.966811,0.949267,0.11061,12.587,,105928.5,9.44,,,,58.0
no_engineered,xgboost,XGBoost,0.5,0.824405,0.855836,0.68012,0.968549,0.799105,0.683691,25015,8647,597,18385,0.256877,0.031451,0.743123,52644,0.360573,0.513487,0.969014,0.954441,0.114657,3.853,,198551.2,5.036,,,,58.0
no_engineered,lightgbm,LightGBM,0.48,0.818289,0.849732,0.673573,0.962491,0.792522,0.672031,24808,8854,712,18270,0.263027,0.037509,0.736973,52644,0.360573,0.515234,0.964935,0.948397,0.133161,6.698,,96971.7,10.312,,,,58.0
no_engineered,isolation_forest,Isolation Forest,0.5,0.650122,0.567384,0.528982,0.270677,0.358111,0.166826,29087,4575,13844,5138,0.13591,0.729323,0.86409,52644,0.360573,0.184503,0.693172,0.521331,0.21281,0.891,,65841.5,15.188,,,,
smote,logistic_regression,Logistic Regression,0.5,0.744206,0.79,0.589808,0.95422,0.729011,0.564898,21065,12597,869,18113,0.37422,0.04578,0.62578,52644,0.360573,0.583352,0.919616,0.880019,0.150784,8.646,,240240.8,4.162,,,,73.0
smote,random_forest,Random Forest,0.5,0.824918,0.85788,0.678905,0.976083,0.800813,0.687834,24899,8763,454,18528,0.260323,0.023917,0.739677,52644,0.360573,0.518407,0.967145,0.949668,0.108612,16.815,,91047.4,10.983,,,,73.0
smote,xgboost,XGBoost,0.5,0.824007,0.8558,0.679274,0.969814,0.79895,0.683672,24970,8692,573,18409,0.258214,0.030186,0.741786,52644,0.360573,0.514798,0.968968,0.95461,0.115657,4.967,,136885.8,7.305,,,,73.0
smote,lightgbm,LightGBM,0.445,0.810767,0.844447,0.663264,0.96523,0.786251,0.66238,24360,9302,660,18322,0.276335,0.03477,0.723665,52644,0.360573,0.524732,0.964681,0.948568,0.134589,7.72,,81222.7,12.312,,,,73.0
smote,isolation_forest,Isolation Forest,0.5,0.646911,0.57705,0.516414,0.32652,0.400077,0.176372,27858,5804,12784,6198,0.17242,0.67348,0.82758,52644,0.360573,0.227984,0.679474,0.504735,0.218843,0.908,,58706.2,17.034,,,,
official_split_raw,logistic_regression,Logistic Regression,0.5,0.816766,0.799458,0.761906,0.970484,0.853639,0.650946,23252,13748,1338,43994,0.371568,0.029516,0.628432,82332,0.5506,0.701331,0.958067,0.968917,0.110346,5.804,,276228.5,3.62,,,,76.0
official_split_raw,random_forest,Random Forest,0.5,0.904642,0.896665,0.867742,0.975492,0.918468,0.812595,30260,6740,1111,44221,0.182162,0.024508,0.817838,82332,0.5506,0.61897,0.984898,0.988519,0.064325,31.811,,103221.4,9.688,,,,76.0
official_split_raw,xgboost,XGBoost,0.5,0.870913,0.858082,0.817872,0.984867,0.893635,0.753673,27058,9942,686,44646,0.268703,0.015133,0.731297,82332,0.5506,0.663023,0.984499,0.988665,0.084503,6.45,,165337.9,6.048,,,,76.0
official_split_raw,lightgbm,LightGBM,0.49,0.867597,0.854954,0.816409,0.979882,0.890707,0.745915,27011,9989,912,44420,0.269973,0.020118,0.730027,82332,0.5506,0.660849,0.982453,0.987233,0.09786,9.473,,92884.0,10.766,,,,76.0
official_split_raw,isolation_forest,Isolation Forest,0.5,0.7247,0.735609,0.830852,0.627813,0.715201,0.47555,31206,5794,16872,28460,0.156595,0.372187,0.843405,82332,0.5506,0.416047,0.793735,0.789941,0.20191,0.989,,58594.1,17.067,,,,
