,group_type,group,n,n_attack,n_benign,recall,false_negative_rate,precision,false_positive_rate,f1,alert_rate,roc_auc
0,attack_cat,Normal,17095,0,17095,,,,,,0.0714243930973969,
1,attack_cat,Exploits,5161,5161,0,0.9802363882968417,0.019763611703158303,,,,0.9802363882968417,
2,attack_cat,Fuzzers,3845,3845,0,0.7375812743823147,0.2624187256176853,,,,0.7375812743823147,
3,attack_cat,Reconnaissance,1729,1729,0,0.9959514170040485,0.004048582995951417,,,,0.9959514170040485,
4,attack_cat,Generic,1461,1461,0,0.9965776865160849,0.0034223134839151265,,,,0.9965776865160849,
5,attack_cat,DoS,838,838,0,0.9880668257756563,0.011933174224343675,,,,0.9880668257756563,
6,attack_cat,Shellcode,291,291,0,0.9621993127147767,0.037800687285223365,,,,0.9621993127147767,
7,attack_cat,Analysis,167,167,0,0.592814371257485,0.40718562874251496,,,,0.592814371257485,
8,attack_cat,Backdoor,117,117,0,1.0,0.0,,,,1.0,
9,attack_cat,Worms,33,33,0,1.0,0.0,,,,1.0,
10,proto,tcp,23400,10426,12974,0.9004412046806062,0.09955879531939382,0.919220601194556,0.06358871589332511,0.9097339987402491,0.43645299145299143,0.9809724696630199
11,proto,udp,6803,2865,3938,0.9396160558464224,0.06038394415357766,0.8723266364225535,0.10005078720162519,0.9047218954797513,0.4536234014405409,0.9834595036326588
12,proto,arp,152,0,152,,,,0.0,0.0,0.0,
13,proto,unas,131,131,0,1.0,0.0,1.0,,1.0,1.0,
14,proto,ospf,52,33,19,1.0,0.0,1.0,0.0,1.0,0.6346153846153846,1.0
15,service,-,18576,7147,11429,0.8512662655659717,0.14873373443402826,0.8550948699929726,0.09020911715810657,0.8531762726125368,0.3830211024978467,0.9637684987400632
16,service,http,5150,3335,1815,0.9658170914542729,0.034182908545727135,0.9649490713001797,0.06446280991735537,0.9653828862580548,0.6481553398058253,0.9896388169551588
17,service,dns,3337,1308,2029,1.0,0.0,0.9992360580595875,0.0004928536224741252,0.9996178830722201,0.3922685046448906,0.9999988696017833
18,service,smtp,1372,941,431,1.0,0.0,0.9989384288747346,0.002320185614849188,0.9994689325544344,0.6865889212827988,0.9996917925591328
19,service,ftp-data,904,189,715,1.0,0.0,0.9947368421052631,0.0013986013986013986,0.9973614775725593,0.21017699115044247,0.9994745994745995
20,service,ftp,749,371,378,0.9056603773584906,0.09433962264150944,0.8296296296296296,0.18253968253968253,0.865979381443299,0.540720961281709,0.9624709422553088
21,service,ssh,300,3,297,1.0,0.0,1.0,0.0,1.0,0.01,1.0
22,service,pop3,298,297,1,1.0,0.0,0.9966442953020134,1.0,0.9983193277310924,1.0,0.9225589225589226
23,state,fin,22410,10382,12028,0.9004045463301869,0.09959545366981314,0.918902978472427,0.0685899567675424,0.9095597178302116,0.4539491298527443,0.9794853674758897
24,state,int,4126,3088,1038,0.9436528497409327,0.056347150259067356,0.8811611732688237,0.3786127167630058,0.9113369820172009,0.8015026660203587,0.9420049766889296
25,state,con,3791,141,3650,1.0,0.0,1.0,0.0,1.0,0.03719335267739383,1.0
26,state,req,380,27,353,1.0,0.0,0.9310344827586207,0.0056657223796034,0.9642857142857143,0.07631578947368421,0.9995803168607702
