,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.894829,0.854313,0.858707,0.99997,0.92397,0.780031,13181,5419,1,32934,0.291344,3e-05,0.708656,51535,0.63908,0.744213,5439.0
1,0.015,0.894984,0.854528,0.858886,0.99997,0.924074,0.780349,13189,5411,1,32934,0.290914,3e-05,0.709086,51535,0.63908,0.744057,5431.0
2,0.02,0.89512,0.854728,0.859062,0.999939,0.924163,0.780614,13197,5403,2,32933,0.290484,6.1e-05,0.709516,51535,0.63908,0.743883,5443.0
3,0.025,0.895391,0.855127,0.859413,0.999879,0.92434,0.781145,13213,5387,4,32931,0.289624,0.000121,0.710376,51535,0.63908,0.743534,5467.0
4,0.03,0.895508,0.855289,0.859548,0.999879,0.924418,0.781384,13219,5381,4,32931,0.289301,0.000121,0.710699,51535,0.63908,0.743417,5461.0
5,0.035,0.895721,0.855608,0.859832,0.999818,0.924556,0.781795,13232,5368,6,32929,0.288602,0.000182,0.711398,51535,0.63908,0.743126,5488.0
6,0.04,0.896168,0.85625,0.860387,0.999757,0.924851,0.782684,13257,5343,8,32927,0.287258,0.000243,0.712742,51535,0.63908,0.742602,5503.0
7,0.045,0.896789,0.857145,0.861163,0.999666,0.92526,0.783919,13292,5308,11,32924,0.285376,0.000334,0.714624,51535,0.63908,0.741865,5528.0
8,0.05,0.897313,0.857906,0.861829,0.999575,0.925605,0.784956,13322,5278,14,32921,0.283763,0.000425,0.716237,51535,0.63908,0.741224,5558.0
9,0.055,0.898011,0.858885,0.862661,0.999545,0.926072,0.786376,13359,5241,15,32920,0.281774,0.000455,0.718226,51535,0.63908,0.740487,5541.0
10,0.06,0.898942,0.860176,0.863747,0.999545,0.926697,0.788287,13407,5193,15,32920,0.279194,0.000455,0.720806,51535,0.63908,0.739556,5493.0
11,0.065,0.89966,0.861194,0.864625,0.999484,0.927176,0.789735,13446,5154,17,32918,0.277097,0.000516,0.722903,51535,0.63908,0.73876,5494.0
12,0.07,0.90034,0.862158,0.865459,0.999423,0.927629,0.791104,13483,5117,19,32916,0.275108,0.000577,0.724892,51535,0.63908,0.738003,5497.0
13,0.075,0.901096,0.863241,0.866405,0.999332,0.928133,0.792621,13525,5075,22,32913,0.272849,0.000668,0.727151,51535,0.63908,0.73713,5515.0
14,0.08,0.901717,0.864183,0.867271,0.999119,0.928538,0.793812,13564,5036,29,32906,0.270753,0.000881,0.729247,51535,0.63908,0.736238,5616.0
15,0.085,0.902571,0.86539,0.868317,0.999059,0.929111,0.795542,13610,4990,31,32904,0.26828,0.000941,0.73172,51535,0.63908,0.735306,5610.0
16,0.09,0.903405,0.866604,0.869401,0.998907,0.929665,0.797198,13658,4942,36,32899,0.265699,0.001093,0.734301,51535,0.63908,0.734278,5662.0
17,0.095,0.904201,0.867753,0.870422,0.998785,0.930196,0.798787,13703,4897,40,32895,0.26328,0.001215,0.73672,51535,0.63908,0.733327,5697.0
18,0.1,0.904958,0.868883,0.871459,0.998573,0.930696,0.800262,13749,4851,47,32888,0.260806,0.001427,0.739194,51535,0.63908,0.732298,5791.0
19,0.105,0.905831,0.870187,0.872658,0.99833,0.931273,0.801969,13802,4798,55,32880,0.257957,0.00167,0.742043,51535,0.63908,0.731115,5898.0
20,0.11,0.906762,0.87157,0.87393,0.998087,0.931891,0.803797,13858,4742,63,32872,0.254946,0.001913,0.745054,51535,0.63908,0.729873,6002.0
21,0.115,0.907616,0.872835,0.875093,0.997875,0.932459,0.805479,13909,4691,70,32865,0.252204,0.002125,0.747796,51535,0.63908,0.728747,6091.0
22,0.12,0.908431,0.874081,0.876274,0.997571,0.932996,0.807052,13961,4639,80,32855,0.249409,0.002429,0.750591,51535,0.63908,0.727544,6239.0
23,0.125,0.909557,0.875734,0.877793,0.997328,0.93375,0.809289,14027,4573,88,32847,0.24586,0.002672,0.75414,51535,0.63908,0.726108,6333.0
24,0.13,0.910701,0.877437,0.879382,0.997024,0.934515,0.811548,14096,4504,98,32837,0.242151,0.002976,0.757849,51535,0.63908,0.724576,6464.0
25,0.135,0.911827,0.879125,0.880975,0.99669,0.935267,0.813762,14165,4435,109,32826,0.238441,0.00331,0.761559,51535,0.63908,0.723023,6615.0
26,0.14,0.913069,0.880974,0.882717,0.996356,0.9361,0.816221,14240,4360,120,32815,0.234409,0.003644,0.765591,51535,0.63908,0.721354,6760.0
27,0.145,0.914349,0.882877,0.884515,0.996022,0.936963,0.818766,14317,4283,131,32804,0.230269,0.003978,0.769731,51535,0.63908,0.719647,6903.0
28,0.15,0.915611,0.884694,0.886193,0.99584,0.937823,0.821322,14388,4212,137,32798,0.226452,0.00416,0.773548,51535,0.63908,0.718153,6952.0
29,0.155,0.916736,0.886417,0.887878,0.995415,0.938576,0.823526,14460,4140,151,32784,0.222581,0.004585,0.777419,51535,0.63908,0.716484,7160.0
30,0.16,0.917842,0.888125,0.889568,0.99496,0.939317,0.825688,14532,4068,166,32769,0.21871,0.00504,0.78129,51535,0.63908,0.714796,7388.0
31,0.165,0.919181,0.890109,0.891471,0.994626,0.940228,0.828374,14612,3988,177,32758,0.214409,0.005374,0.785591,51535,0.63908,0.71303,7528.0
32,0.17,0.920248,0.891751,0.893107,0.994201,0.940947,0.830475,14681,3919,191,32744,0.210699,0.005799,0.789301,51535,0.63908,0.711419,7739.0
33,0.175,0.921781,0.894015,0.895295,0.993836,0.941996,0.833569,14772,3828,203,32732,0.205806,0.006164,0.794194,51535,0.63908,0.709421,7888.0
34,0.18,0.922713,0.895563,0.896951,0.993168,0.942611,0.835336,14842,3758,225,32710,0.202043,0.006832,0.797957,51535,0.63908,0.707636,8258.0
35,0.185,0.924149,0.897681,0.899016,0.992834,0.943599,0.83825,14927,3673,236,32699,0.197473,0.007166,0.802527,51535,0.63908,0.705773,8393.0
36,0.19,0.925099,0.89915,0.900515,0.99244,0.944245,0.840141,14989,3611,249,32686,0.19414,0.00756,0.80586,51535,0.63908,0.704317,8591.0
