,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.899842,0.902342,0.829527,0.999898,0.90678,0.816953,8340,2023,1,9844,0.195214,0.000102,0.804786,20208,0.487183,0.587243,2043.0
1,0.015,0.90098,0.903447,0.83125,0.999695,0.907724,0.818805,8365,1998,3,9842,0.192801,0.000305,0.807199,20208,0.487183,0.585907,2058.0
2,0.02,0.90197,0.904409,0.832713,0.999594,0.908554,0.820444,8386,1977,4,9841,0.190775,0.000406,0.809225,20208,0.487183,0.584818,2057.0
3,0.025,0.902514,0.904935,0.833602,0.999391,0.908999,0.821298,8399,1964,6,9839,0.18952,0.000609,0.81048,20208,0.487183,0.584076,2084.0
4,0.03,0.903702,0.906078,0.835642,0.998781,0.909957,0.823114,8429,1934,12,9833,0.186625,0.001219,0.813375,20208,0.487183,0.582294,2174.0
5,0.035,0.904642,0.906984,0.837223,0.998375,0.910725,0.824582,8452,1911,16,9829,0.184406,0.001625,0.815594,20208,0.487183,0.580958,2231.0
6,0.04,0.905681,0.907995,0.838781,0.998273,0.911604,0.826319,8474,1889,17,9828,0.182283,0.001727,0.817717,20208,0.487183,0.57982,2229.0
7,0.045,0.906423,0.908706,0.840147,0.997765,0.912198,0.827427,8494,1869,22,9823,0.180353,0.002235,0.819647,20208,0.487183,0.578583,2309.0
8,0.05,0.907215,0.909473,0.841415,0.997562,0.91286,0.828717,8512,1851,24,9821,0.178616,0.002438,0.821384,20208,0.487183,0.577593,2331.0
9,0.055,0.908056,0.910286,0.842819,0.997257,0.913557,0.830063,8532,1831,27,9818,0.176686,0.002743,0.823314,20208,0.487183,0.576455,2371.0
10,0.06,0.908897,0.911098,0.844228,0.996953,0.914256,0.831413,8552,1811,30,9815,0.174756,0.003047,0.825244,20208,0.487183,0.575317,2411.0
11,0.065,0.910036,0.9122,0.846081,0.996648,0.915213,0.833277,8578,1785,33,9812,0.172247,0.003352,0.827753,20208,0.487183,0.573882,2445.0
12,0.07,0.911174,0.913292,0.848183,0.995937,0.916141,0.835028,8608,1755,40,9805,0.169353,0.004063,0.830647,20208,0.487183,0.572051,2555.0
13,0.075,0.912015,0.9141,0.849736,0.995429,0.91683,0.836334,8630,1733,45,9800,0.16723,0.004571,0.83277,20208,0.487183,0.570715,2633.0
14,0.08,0.912856,0.914907,0.851295,0.994921,0.917521,0.837645,8652,1711,50,9795,0.165107,0.005079,0.834893,20208,0.487183,0.569378,2711.0
15,0.085,0.913599,0.915616,0.852775,0.994312,0.91812,0.838761,8673,1690,56,9789,0.16308,0.005688,0.83692,20208,0.487183,0.568042,2810.0
16,0.09,0.914588,0.916571,0.854511,0.993906,0.918952,0.840369,8697,1666,60,9785,0.160764,0.006094,0.839236,20208,0.487183,0.566657,2866.0
17,0.095,0.915331,0.917279,0.856005,0.993296,0.919554,0.841496,8718,1645,66,9779,0.158738,0.006704,0.841262,20208,0.487183,0.565321,2965.0
18,0.1,0.916073,0.91799,0.857444,0.992788,0.920166,0.842655,8738,1625,71,9774,0.156808,0.007212,0.843192,20208,0.487183,0.564084,3045.0
19,0.105,0.916568,0.91846,0.858511,0.99228,0.920562,0.843387,8753,1610,76,9769,0.15536,0.00772,0.84464,20208,0.487183,0.563094,3130.0
20,0.11,0.917557,0.91942,0.86015,0.992077,0.921415,0.845066,8775,1588,78,9767,0.153237,0.007923,0.846763,20208,0.487183,0.561906,3148.0
21,0.115,0.918151,0.919984,0.861442,0.991468,0.921893,0.845952,8793,1570,84,9761,0.151501,0.008532,0.848499,20208,0.487183,0.560719,3250.0
22,0.12,0.919042,0.920844,0.863005,0.991163,0.922655,0.84744,8814,1549,87,9758,0.149474,0.008837,0.850526,20208,0.487183,0.559531,3289.0
23,0.125,0.919636,0.921416,0.864116,0.990858,0.923157,0.84841,8829,1534,90,9755,0.148027,0.009142,0.851973,20208,0.487183,0.55864,3334.0
24,0.13,0.920329,0.922089,0.865253,0.990757,0.923762,0.849606,8844,1519,91,9754,0.146579,0.009243,0.853421,20208,0.487183,0.557848,3339.0
25,0.135,0.920823,0.922553,0.866477,0.990046,0.924149,0.850307,8861,1502,98,9747,0.144939,0.009954,0.855061,20208,0.487183,0.556661,3462.0
