,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.841592,0.857598,0.736953,1.0,0.848558,0.725993,12227,4869,0,13641,0.284803,0.0,0.715197,30737,0.443797,0.602206,4869.0
1,0.015,0.841722,0.857715,0.737112,1.0,0.848664,0.72619,12231,4865,0,13641,0.284569,0.0,0.715431,30737,0.443797,0.602076,4865.0
2,0.02,0.841982,0.857949,0.737431,1.0,0.848875,0.726585,12239,4857,0,13641,0.284102,0.0,0.715898,30737,0.443797,0.601815,4857.0
3,0.025,0.842242,0.858183,0.73775,1.0,0.849087,0.72698,12247,4849,0,13641,0.283634,0.0,0.716366,30737,0.443797,0.601555,4849.0
4,0.03,0.84247,0.858388,0.73803,1.0,0.849272,0.727325,12254,4842,0,13641,0.283224,0.0,0.716776,30737,0.443797,0.601327,4842.0
5,0.035,0.842568,0.858476,0.738149,1.0,0.849351,0.727473,12257,4839,0,13641,0.283049,0.0,0.716951,30737,0.443797,0.60123,4839.0
6,0.04,0.84273,0.858622,0.738349,1.0,0.849483,0.72772,12262,4834,0,13641,0.282756,0.0,0.717244,30737,0.443797,0.601067,4834.0
7,0.045,0.842795,0.858673,0.738455,0.999927,0.849527,0.727784,12265,4831,1,13640,0.282581,7.3e-05,0.717419,30737,0.443797,0.600937,4851.0
8,0.05,0.842828,0.858702,0.738495,0.999927,0.849553,0.727833,12266,4830,1,13640,0.282522,7.3e-05,0.717478,30737,0.443797,0.600904,4850.0
9,0.055,0.842893,0.858753,0.738601,0.999853,0.849597,0.727897,12269,4827,2,13639,0.282347,0.000147,0.717653,30737,0.443797,0.600774,4867.0
10,0.06,0.843088,0.858929,0.738841,0.999853,0.849755,0.728193,12275,4821,2,13639,0.281996,0.000147,0.718004,30737,0.443797,0.600579,4861.0
11,0.065,0.843511,0.859302,0.739387,0.99978,0.85009,0.728801,12289,4807,3,13638,0.281177,0.00022,0.718823,30737,0.443797,0.600091,4867.0
12,0.07,0.843609,0.859382,0.739534,0.999707,0.850161,0.728914,12293,4803,4,13637,0.280943,0.000293,0.719057,30737,0.443797,0.599928,4883.0
13,0.075,0.844064,0.859791,0.740096,0.999707,0.850532,0.729607,12307,4789,4,13637,0.280124,0.000293,0.719876,30737,0.443797,0.599473,4869.0
14,0.08,0.844682,0.86034,0.740886,0.999633,0.851027,0.730513,12327,4769,5,13636,0.278954,0.000367,0.721046,30737,0.443797,0.59879,4869.0
15,0.085,0.845138,0.860727,0.741528,0.999414,0.851371,0.731103,12344,4752,8,13633,0.27796,0.000586,0.72204,30737,0.443797,0.598139,4912.0
16,0.09,0.845788,0.861297,0.742389,0.999267,0.851884,0.732026,12366,4730,10,13631,0.276673,0.000733,0.723327,30737,0.443797,0.597358,4930.0
17,0.095,0.846504,0.861918,0.743359,0.999047,0.852443,0.733015,12391,4705,13,13628,0.275211,0.000953,0.724789,30737,0.443797,0.596447,4965.0
18,0.1,0.847122,0.862474,0.74413,0.999047,0.852949,0.73396,12410,4686,13,13628,0.274099,0.000953,0.725901,30737,0.443797,0.595829,4946.0
19,0.105,0.847903,0.863139,0.745241,0.99868,0.853545,0.734984,12439,4657,18,13623,0.272403,0.00132,0.727597,30737,0.443797,0.594723,5017.0
20,0.11,0.848912,0.864023,0.746588,0.998461,0.854347,0.736428,12473,4623,21,13620,0.270414,0.001539,0.729586,30737,0.443797,0.593519,5043.0
21,0.115,0.849985,0.864966,0.748022,0.998241,0.855205,0.737976,12509,4587,24,13617,0.268308,0.001759,0.731692,30737,0.443797,0.59225,5067.0
22,0.12,0.851254,0.866099,0.749656,0.998167,0.856244,0.739893,12549,4547,25,13616,0.265969,0.001833,0.734031,30737,0.443797,0.590916,5047.0
23,0.125,0.852068,0.866816,0.750744,0.998021,0.8569,0.741079,12576,4520,27,13614,0.264389,0.001979,0.735611,30737,0.443797,0.589973,5060.0
24,0.13,0.853174,0.867803,0.752183,0.997947,0.857809,0.742752,12611,4485,28,13613,0.262342,0.002053,0.737658,30737,0.443797,0.588802,5045.0
25,0.135,0.854247,0.868701,0.753809,0.997288,0.858622,0.744117,12653,4443,37,13604,0.259885,0.002712,0.740115,30737,0.443797,0.587143,5183.0
26,0.14,0.855158,0.869453,0.755236,0.996628,0.859301,0.745238,12690,4406,46,13595,0.257721,0.003372,0.742279,30737,0.443797,0.585646,5326.0
27,0.145,0.85659,0.870711,0.757201,0.996335,0.860462,0.747333,12738,4358,50,13591,0.254913,0.003665,0.745087,30737,0.443797,0.583954,5358.0
28,0.15,0.858184,0.872099,0.759448,0.995895,0.861746,0.749624,12793,4303,56,13585,0.251696,0.004105,0.748304,30737,0.443797,0.58197,5423.0
29,0.155,0.859518,0.873246,0.761397,0.995382,0.862807,0.751487,12841,4255,63,13578,0.248889,0.004618,0.751111,30737,0.443797,0.58018,5515.0
30,0.16,0.861014,0.87454,0.763574,0.994868,0.86401,0.753613,12894,4202,70,13571,0.245788,0.005132,0.754212,30737,0.443797,0.578228,5602.0
31,0.165,0.862739,0.876023,0.766128,0.994209,0.865393,0.756046,12956,4140,79,13562,0.242162,0.005791,0.757838,30737,0.443797,0.575918,5720.0
32,0.17,0.864984,0.87799,0.76934,0.993695,0.867242,0.759374,13032,4064,86,13555,0.237716,0.006305,0.762284,30737,0.443797,0.573218,5784.0
33,0.175,0.866448,0.879209,0.771712,0.992742,0.868383,0.761307,13090,4006,99,13542,0.234324,0.007258,0.765676,30737,0.443797,0.570908,5986.0
34,0.18,0.868139,0.880634,0.774413,0.991789,0.869725,0.763616,13155,3941,112,13529,0.230522,0.008211,0.769478,30737,0.443797,0.56837,6181.0
35,0.185,0.869701,0.881964,0.776865,0.991056,0.870985,0.765819,13213,3883,122,13519,0.227129,0.008944,0.772871,30737,0.443797,0.566158,6323.0
36,0.19,0.870905,0.882994,0.778745,0.990543,0.871967,0.767546,13257,3839,129,13512,0.224555,0.009457,0.775445,30737,0.443797,0.564499,6419.0
37,0.195,0.872597,0.884426,0.781476,0.989664,0.873334,0.769926,13321,3775,141,13500,0.220812,0.010336,0.779188,30737,0.443797,0.562026,6595.0
38,0.2,0.873898,0.885507,0.783685,0.988784,0.874368,0.771693,13373,3723,153,13488,0.21777,0.011216,0.78223,30737,0.443797,0.559944,6783.0
39,0.205,0.875297,0.886668,0.786081,0.987831,0.875483,0.773603,13429,3667,166,13475,0.214495,0.012169,0.785505,30737,0.443797,0.557699,6987.0
40,0.21,0.877281,0.888378,0.789227,0.987098,0.877142,0.776557,13500,3596,176,13465,0.210342,0.012902,0.789658,30737,0.443797,0.555064,7116.0
41,0.215,0.878908,0.889714,0.792131,0.985851,0.878438,0.778766,13567,3529,193,13448,0.206423,0.014149,0.793577,30737,0.443797,0.552331,7389.0
42,0.22,0.88021,0.890795,0.794418,0.984972,0.879492,0.780589,13619,3477,205,13436,0.203381,0.015028,0.796619,30737,0.443797,0.550249,7577.0
43,0.225,0.881999,0.892293,0.79754,0.983872,0.880961,0.783153,13689,3407,220,13421,0.199286,0.016128,0.800714,30737,0.443797,0.547483,7807.0
44,0.23,0.883723,0.893769,0.800418,0.983139,0.882419,0.785751,13752,3344,230,13411,0.195601,0.016861,0.804399,30737,0.443797,0.545109,7944.0
45,0.235,0.884862,0.894689,0.8026,0.982113,0.883328,0.7873,13801,3295,244,13397,0.192735,0.017887,0.807265,30737,0.443797,0.543059,8175.0
46,0.24,0.886131,0.895726,0.804992,0.981086,0.884359,0.789077,13854,3242,258,13383,0.189635,0.018914,0.810365,30737,0.443797,0.540879,8402.0
47,0.245,0.887009,0.89636,0.807079,0.979547,0.884989,0.790058,13902,3194,279,13362,0.186827,0.020453,0.813173,30737,0.443797,0.538634,8774.0
48,0.25,0.888311,0.897433,0.809521,0.978594,0.886064,0.791941,13955,3141,292,13349,0.183727,0.021406,0.816273,30737,0.443797,0.536487,8981.0
