,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.838859,0.855142,0.733624,1.0,0.846347,0.721859,12143,4953,0,13641,0.289717,0.0,0.710283,30737,0.443797,0.604939,4953.0
1,0.015,0.839672,0.855865,0.734637,0.999927,0.846995,0.723053,12169,4927,1,13640,0.288196,7.3e-05,0.711804,30737,0.443797,0.60406,4947.0
2,0.02,0.840193,0.856333,0.73527,0.999927,0.847416,0.72384,12185,4911,1,13640,0.28726,7.3e-05,0.71274,30737,0.443797,0.60354,4931.0
3,0.025,0.840908,0.856977,0.736143,0.999927,0.847995,0.724923,12207,4889,1,13640,0.285973,7.3e-05,0.714027,30737,0.443797,0.602824,4909.0
4,0.03,0.841104,0.857152,0.736382,0.999927,0.848153,0.725219,12213,4883,1,13640,0.285622,7.3e-05,0.714378,30737,0.443797,0.602629,4903.0
5,0.035,0.841526,0.857532,0.736899,0.999927,0.848496,0.725859,12226,4870,1,13640,0.284862,7.3e-05,0.715138,30737,0.443797,0.602206,4890.0
6,0.04,0.841722,0.857708,0.737138,0.999927,0.848655,0.726155,12232,4864,1,13640,0.284511,7.3e-05,0.715489,30737,0.443797,0.602011,4884.0
7,0.045,0.841819,0.857788,0.737283,0.999853,0.848724,0.726268,12236,4860,2,13639,0.284277,0.000147,0.715723,30737,0.443797,0.601848,4900.0
8,0.05,0.841949,0.857905,0.737443,0.999853,0.84883,0.726465,12240,4856,2,13639,0.284043,0.000147,0.715957,30737,0.443797,0.601718,4896.0
9,0.055,0.842145,0.858081,0.737682,0.999853,0.848988,0.726761,12246,4850,2,13639,0.283692,0.000147,0.716308,30737,0.443797,0.601523,4890.0
10,0.06,0.842242,0.858161,0.737827,0.99978,0.849058,0.726874,12250,4846,3,13638,0.283458,0.00022,0.716542,30737,0.443797,0.60136,4906.0
11,0.065,0.842503,0.858395,0.738147,0.99978,0.84927,0.727269,12258,4838,3,13638,0.28299,0.00022,0.71701,30737,0.443797,0.6011,4898.0
12,0.07,0.842828,0.858673,0.738598,0.999633,0.849516,0.727693,12270,4826,5,13636,0.282288,0.000367,0.717712,30737,0.443797,0.600644,4926.0
13,0.075,0.843251,0.859053,0.739119,0.999633,0.84986,0.728336,12283,4813,5,13636,0.281528,0.000367,0.718472,30737,0.443797,0.600221,4913.0
14,0.08,0.843739,0.859484,0.739746,0.99956,0.850248,0.729043,12299,4797,6,13635,0.280592,0.00044,0.719408,30737,0.443797,0.599668,4917.0
15,0.085,0.84452,0.860179,0.740737,0.999487,0.850875,0.730196,12324,4772,7,13634,0.27913,0.000513,0.72087,30737,0.443797,0.598822,4912.0
16,0.09,0.845008,0.86058,0.741472,0.99912,0.851227,0.730767,12344,4752,12,13629,0.27796,0.00088,0.72204,30737,0.443797,0.598009,4992.0
17,0.095,0.845626,0.861129,0.742266,0.999047,0.851723,0.731675,12364,4732,13,13628,0.27679,0.000953,0.72321,30737,0.443797,0.597326,4992.0
18,0.1,0.846016,0.861457,0.742831,0.998827,0.852015,0.732168,12379,4717,16,13625,0.275912,0.001173,0.724088,30737,0.443797,0.59674,5037.0
19,0.105,0.846764,0.862108,0.743843,0.998607,0.852601,0.733209,12405,4691,19,13622,0.274392,0.001393,0.725608,30737,0.443797,0.595797,5071.0
20,0.11,0.847578,0.862787,0.745048,0.998094,0.853204,0.734216,12437,4659,26,13615,0.27252,0.001906,0.72748,30737,0.443797,0.594528,5179.0
21,0.115,0.849139,0.864169,0.747091,0.997874,0.854462,0.73651,12488,4608,29,13612,0.269537,0.002126,0.730463,30737,0.443797,0.592771,5188.0
22,0.12,0.849985,0.864885,0.748323,0.997434,0.855105,0.73761,12520,4576,35,13606,0.267665,0.002566,0.732335,30737,0.443797,0.591535,5276.0
23,0.125,0.850994,0.865754,0.749738,0.997068,0.855893,0.738997,12556,4540,40,13601,0.265559,0.002932,0.734441,30737,0.443797,0.590201,5340.0
24,0.13,0.852263,0.866843,0.751548,0.996555,0.856882,0.740725,12602,4494,47,13594,0.262869,0.003445,0.737131,30737,0.443797,0.588476,5434.0
25,0.135,0.853824,0.868188,0.753773,0.995968,0.858108,0.742882,12658,4438,55,13586,0.259593,0.004032,0.740407,30737,0.443797,0.586394,5538.0
26,0.14,0.854931,0.869115,0.755453,0.995308,0.85895,0.74431,12701,4395,64,13577,0.257078,0.004692,0.742922,30737,0.443797,0.584702,5675.0
27,0.145,0.855939,0.86997,0.756959,0.994795,0.859731,0.745656,12739,4357,71,13570,0.254855,0.005205,0.745145,30737,0.443797,0.583238,5777.0
28,0.15,0.857468,0.8713,0.759122,0.994355,0.86096,0.747851,12792,4304,77,13564,0.251755,0.005645,0.748245,30737,0.443797,0.581319,5844.0
29,0.155,0.858672,0.872353,0.760815,0.994062,0.861937,0.749608,12833,4263,81,13560,0.249357,0.005938,0.750643,30737,0.443797,0.579855,5883.0
30,0.16,0.860461,0.873865,0.763555,0.993109,0.863334,0.752014,12901,4195,94,13547,0.245379,0.006891,0.754621,30737,0.443797,0.57722,6075.0
31,0.165,0.86199,0.875173,0.765854,0.992449,0.864551,0.754147,12957,4139,103,13538,0.242103,0.007551,0.757897,30737,0.443797,0.575105,6199.0
32,0.17,0.863552,0.876495,0.768274,0.991643,0.865783,0.756284,13016,4080,114,13527,0.238652,0.008357,0.761348,30737,0.443797,0.572828,6360.0
33,0.175,0.865179,0.877891,0.770739,0.990983,0.867094,0.758596,13075,4021,123,13518,0.235201,0.009017,0.764799,30737,0.443797,0.570615,6481.0
34,0.18,0.866545,0.879045,0.772902,0.99025,0.868179,0.760477,13127,3969,133,13508,0.23216,0.00975,0.76784,30737,0.443797,0.568598,6629.0
35,0.185,0.86853,0.8808,0.775735,0.989957,0.869851,0.763526,13192,3904,137,13504,0.228358,0.010043,0.771642,30737,0.443797,0.566353,6644.0
36,0.19,0.870384,0.8824,0.778573,0.989297,0.871376,0.766239,13258,3838,146,13495,0.224497,0.010703,0.775503,30737,0.443797,0.563913,6758.0
37,0.195,0.872466,0.884198,0.781784,0.988564,0.873098,0.769306,13332,3764,156,13485,0.220168,0.011436,0.779832,30737,0.443797,0.56118,6884.0
38,0.2,0.87393,0.885388,0.784391,0.987318,0.874233,0.771208,13394,3702,173,13468,0.216542,0.012682,0.783458,30737,0.443797,0.55861,7162.0
39,0.205,0.875687,0.886871,0.787303,0.986365,0.875663,0.773707,13461,3635,186,13455,0.212623,0.013635,0.787377,30737,0.443797,0.556007,7355.0
40,0.21,0.877086,0.888091,0.789458,0.985998,0.87685,0.77585,13509,3587,191,13450,0.209815,0.014002,0.790185,30737,0.443797,0.554283,7407.0
41,0.215,0.878355,0.889158,0.791613,0.985265,0.877886,0.77766,13558,3538,201,13440,0.206949,0.014735,0.793051,30737,0.443797,0.552364,7558.0
42,0.22,0.879949,0.890495,0.794356,0.984312,0.879191,0.779938,13620,3476,214,13427,0.203322,0.015688,0.796678,30737,0.443797,0.549924,7756.0
43,0.225,0.881251,0.891598,0.796557,0.983652,0.880273,0.781849,13669,3427,223,13418,0.200456,0.016348,0.799544,30737,0.443797,0.548037,7887.0
44,0.23,0.882747,0.892862,0.79913,0.982846,0.881518,0.784044,13726,3370,234,13407,0.197122,0.017154,0.802878,30737,0.443797,0.545824,8050.0
45,0.235,0.884211,0.894,0.802146,0.981086,0.882638,0.785891,13795,3301,258,13383,0.193086,0.018914,0.806914,30737,0.443797,0.542799,8461.0
46,0.24,0.884959,0.894539,0.80391,0.979767,0.883169,0.786712,13836,3260,276,13365,0.190688,0.020233,0.809312,30737,0.443797,0.540879,8780.0
47,0.245,0.886489,0.895781,0.806855,0.978447,0.884405,0.788848,13901,3195,294,13347,0.186886,0.021553,0.813114,30737,0.443797,0.538179,9075.0
48,0.25,0.887725,0.896744,0.809463,0.976981,0.885368,0.79047,13959,3137,314,13327,0.183493,0.023019,0.816507,30737,0.443797,0.535641,9417.0
49,0.255,0.889514,0.898249,0.81271,0.975955,0.886883,0.793173,14028,3068,328,13313,0.179457,0.024045,0.820543,30737,0.443797,0.532941,9628.0
50,0.26,0.890718,0.899227,0.815089,0.974929,0.887873,0.794906,14079,3017,342,13299,0.176474,0.025071,0.823526,30737,0.443797,0.530826,9857.0
51,0.265,0.891596,0.899891,0.817102,0.973682,0.888547,0.796039,14123,2973,359,13282,0.1739,0.026318,0.8261,30737,0.443797,0.528841,10153.0
52,0.27,0.892442,0.900555,0.818922,0.972729,0.889224,0.797209,14162,2934,372,13269,0.171619,0.027271,0.828381,30737,0.443797,0.52715,10374.0
53,0.275,0.893548,0.90149,0.820962,0.972143,0.890179,0.798933,14204,2892,380,13261,0.169162,0.027857,0.830838,30737,0.443797,0.525523,10492.0
54,0.28,0.895208,0.90293,0.823844,0.97163,0.891655,0.801632,14262,2834,387,13254,0.16577,0.02837,0.83423,30737,0.443797,0.523408,10574.0
55,0.285,0.896054,0.903572,0.825827,0.970457,0.892319,0.802772,14304,2792,403,13238,0.163313,0.029543,0.836687,30737,0.443797,0.521521,10852.0
56,0.29,0.896997,0.904324,0.827856,0.969504,0.893098,0.804149,14346,2750,416,13225,0.160856,0.030496,0.839144,30737,0.443797,0.519732,11070.0
57,0.295,0.898233,0.905376,0.830161,0.968917,0.894188,0.806135,14392,2704,424,13217,0.158166,0.031083,0.841834,30737,0.443797,0.517975,11184.0
58,0.3,0.899405,0.906355,0.832461,0.968184,0.895208,0.80798,14438,2658,434,13207,0.155475,0.031816,0.844525,30737,0.443797,0.516153,11338.0
59,0.305,0.900576,0.907341,0.834735,0.967524,0.896238,0.809854,14483,2613,443,13198,0.152843,0.032476,0.847157,30737,0.443797,0.514396,11473.0
60,0.31,0.901324,0.90791,0.836548,0.966498,0.89684,0.810912,14520,2576,457,13184,0.150679,0.033502,0.849321,30737,0.443797,0.512737,11716.0
61,0.315,0.902268,0.908647,0.838736,0.965398,0.897621,0.812304,14564,2532,472,13169,0.148105,0.034602,0.851895,30737,0.443797,0.510818,11972.0
62,0.32,0.903048,0.909245,0.840629,0.964372,0.898259,0.813438,14602,2494,486,13155,0.145882,0.035628,0.854118,30737,0.443797,0.509126,12214.0
63,0.325,0.904024,0.909996,0.84299,0.963126,0.899062,0.814877,14649,2447,503,13138,0.143133,0.036874,0.856867,30737,0.443797,0.507044,12507.0
64,0.33,0.905066,0.910903,0.844902,0.962833,0.900021,0.816651,14685,2411,507,13134,0.141027,0.037167,0.858973,30737,0.443797,0.505742,12551.0
65,0.335,0.905423,0.911091,0.846303,0.961513,0.900237,0.817001,14714,2382,525,13116,0.139331,0.038487,0.860669,30737,0.443797,0.504213,12882.0
66,0.34,0.906757,0.912261,0.848728,0.96122,0.901478,0.819307,14759,2337,529,13112,0.136699,0.03878,0.863301,30737,0.443797,0.502619,12917.0
67,0.345,0.907863,0.913181,0.851056,0.960487,0.902466,0.821126,14803,2293,539,13102,0.134125,0.039513,0.865875,30737,0.443797,0.500862,13073.0
68,0.35,0.909002,0.91413,0.853455,0.959754,0.903488,0.823013,14848,2248,549,13092,0.131493,0.040246,0.868507,30737,0.443797,0.499073,13228.0
69,0.355,0.909555,0.914517,0.855097,0.958654,0.903919,0.823789,14880,2216,564,13077,0.129621,0.041346,0.870379,30737,0.443797,0.497544,13496.0
70,0.36,0.910499,0.915261,0.857377,0.957628,0.904734,0.825289,14923,2173,578,13063,0.127106,0.042372,0.872894,30737,0.443797,0.495689,13733.0
71,0.365,0.910759,0.915302,0.859054,0.955722,0.904813,0.825405,14957,2139,604,13037,0.125117,0.044278,0.874883,30737,0.443797,0.493737,14219.0
72,0.37,0.91141,0.915798,0.860759,0.954842,0.905363,0.826424,14989,2107,616,13025,0.123245,0.045158,0.876755,30737,0.443797,0.492306,14427.0
73,0.375,0.911995,0.916199,0.862599,0.953596,0.905818,0.827268,15024,2072,633,13008,0.121198,0.046404,0.878802,30737,0.443797,0.490614,14732.0
74,0.38,0.912483,0.916482,0.864474,0.952056,0.906154,0.827894,15060,2036,654,12987,0.119092,0.047944,0.880908,30737,0.443797,0.488759,15116.0
75,0.385,0.913004,0.916854,0.86603,0.951103,0.906575,0.828687,15089,2007,667,12974,0.117396,0.048897,0.882604,30737,0.443797,0.487393,15347.0
76,0.39,0.91372,0.917349,0.868289,0.949637,0.907143,0.829763,15131,1965,687,12954,0.114939,0.050363,0.885061,30737,0.443797,0.485376,15705.0
77,0.395,0.914045,0.917471,0.870013,0.947951,0.907311,0.8301,15164,1932,710,12931,0.113009,0.052049,0.886991,30737,0.443797,0.483554,16132.0
78,0.4,0.914403,0.917652,0.871608,0.946558,0.907538,0.830551,15194,1902,729,12912,0.111254,0.053442,0.888746,30737,0.443797,0.48196,16482.0
79,0.405,0.914468,0.917548,0.872833,0.944945,0.907459,0.830437,15218,1878,751,12890,0.10985,0.055055,0.89015,30737,0.443797,0.480463,16898.0
80,0.41,0.915216,0.918161,0.874601,0.944359,0.908142,0.831742,15249,1847,759,12882,0.108037,0.055641,0.891963,30737,0.443797,0.479194,17027.0
81,0.415,0.915574,0.918305,0.876483,0.9426,0.90834,0.832168,15284,1812,783,12858,0.10599,0.0574,0.89401,30737,0.443797,0.477275,17472.0
82,0.42,0.915802,0.918384,0.877777,0.941353,0.908454,0.832429,15308,1788,800,12841,0.104586,0.058647,0.895414,30737,0.443797,0.475941,17788.0
83,0.425,0.91616,0.918535,0.879632,0.939667,0.908659,0.832884,15342,1754,823,12818,0.102597,0.060333,0.897403,30737,0.443797,0.474087,18214.0
84,0.43,0.91655,0.918723,0.88151,0.938054,0.908904,0.833422,15376,1720,845,12796,0.100608,0.061946,0.899392,30737,0.443797,0.472265,18620.0
85,0.435,0.917038,0.919036,0.883321,0.936808,0.909278,0.834197,15408,1688,862,12779,0.098737,0.063192,0.901263,30737,0.443797,0.470671,18928.0
86,0.44,0.917363,0.919239,0.88457,0.935928,0.909525,0.834713,15430,1666,874,12767,0.09745,0.064072,0.90255,30737,0.443797,0.469564,19146.0
87,0.445,0.918209,0.919866,0.887134,0.934609,0.910253,0.836174,15474,1622,892,12749,0.094876,0.065391,0.905124,30737,0.443797,0.467547,19462.0
88,0.45,0.918567,0.92007,0.88868,0.933436,0.910508,0.836735,15501,1595,908,12733,0.093297,0.066564,0.906703,30737,0.443797,0.466148,19755.0
89,0.455,0.918893,0.920199,0.8905,0.931823,0.910693,0.837198,15533,1563,930,12711,0.091425,0.068177,0.908575,30737,0.443797,0.464391,20163.0
90,0.46,0.918925,0.920043,0.891936,0.92999,0.910566,0.837091,15559,1537,955,12686,0.089904,0.07001,0.910096,30737,0.443797,0.462732,20637.0
91,0.465,0.919543,0.920451,0.894239,0.928524,0.911059,0.83815,15598,1498,975,12666,0.087623,0.071476,0.912377,30737,0.443797,0.460813,20998.0
92,0.47,0.919641,0.920331,0.895994,0.926472,0.910978,0.838172,15629,1467,1003,12638,0.08581,0.073528,0.91419,30737,0.443797,0.458893,21527.0
