,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.935841,0.899554,0.913856,1.0,0.954989,0.854558,8950,2250,0,23869,0.200893,0.0,0.799107,35069,0.68063,0.744789,2250.0
1,0.015,0.936069,0.899911,0.914136,1.0,0.955142,0.85507,8958,2242,0,23869,0.200179,0.0,0.799821,35069,0.68063,0.744561,2242.0
2,0.02,0.936154,0.900045,0.914241,1.0,0.955199,0.855263,8961,2239,0,23869,0.199911,0.0,0.800089,35069,0.68063,0.744475,2239.0
3,0.025,0.936383,0.900402,0.914521,1.0,0.955352,0.855776,8969,2231,0,23869,0.199196,0.0,0.800804,35069,0.68063,0.744247,2231.0
4,0.03,0.936554,0.90067,0.914731,1.0,0.955467,0.85616,8975,2225,0,23869,0.198661,0.0,0.801339,35069,0.68063,0.744076,2225.0
5,0.035,0.93681,0.901071,0.915047,1.0,0.955639,0.856737,8984,2216,0,23869,0.197857,0.0,0.802143,35069,0.68063,0.743819,2216.0
6,0.04,0.936953,0.901295,0.915222,1.0,0.955735,0.857058,8989,2211,0,23869,0.197411,0.0,0.802589,35069,0.68063,0.743677,2211.0
7,0.045,0.937067,0.901521,0.915427,0.999916,0.955808,0.85729,8995,2205,2,23867,0.196875,8.4e-05,0.803125,35069,0.68063,0.743449,2245.0
8,0.05,0.93721,0.901744,0.915602,0.999916,0.955904,0.857611,9000,2200,2,23867,0.196429,8.4e-05,0.803571,35069,0.68063,0.743306,2240.0
9,0.055,0.937352,0.901967,0.915778,0.999916,0.955999,0.857931,9005,2195,2,23867,0.195982,8.4e-05,0.804018,35069,0.68063,0.743163,2235.0
10,0.06,0.937922,0.902884,0.916513,0.999874,0.956381,0.859202,9026,2174,3,23866,0.194107,0.000126,0.805893,35069,0.68063,0.742536,2234.0
11,0.065,0.938407,0.90369,0.917176,0.999791,0.956703,0.860269,9045,2155,5,23864,0.192411,0.000209,0.807589,35069,0.68063,0.741937,2255.0
12,0.07,0.938806,0.904315,0.91767,0.999791,0.956972,0.861167,9059,2141,5,23864,0.191161,0.000209,0.808839,35069,0.68063,0.741538,2241.0
13,0.075,0.93912,0.90483,0.91809,0.999749,0.957181,0.861861,9071,2129,6,23863,0.190089,0.000251,0.809911,35069,0.68063,0.741167,2249.0
14,0.08,0.939434,0.905344,0.918511,0.999707,0.95739,0.862556,9083,2117,7,23862,0.189018,0.000293,0.810982,35069,0.68063,0.740797,2257.0
15,0.085,0.939804,0.905948,0.919003,0.999665,0.957639,0.863379,9097,2103,8,23861,0.187768,0.000335,0.812232,35069,0.68063,0.740369,2263.0
16,0.09,0.939918,0.906127,0.919145,0.999665,0.957715,0.863635,9101,2099,8,23861,0.187411,0.000335,0.812589,35069,0.68063,0.740255,2259.0
17,0.095,0.940175,0.906553,0.919496,0.999623,0.957887,0.864202,9111,2089,9,23860,0.186518,0.000377,0.813482,35069,0.68063,0.739941,2269.0
18,0.1,0.940375,0.906936,0.919841,0.999497,0.958016,0.864618,9121,2079,12,23857,0.185625,0.000503,0.814375,35069,0.68063,0.739571,2319.0
19,0.105,0.940688,0.907427,0.920231,0.999497,0.958228,0.865324,9132,2068,12,23857,0.184643,0.000503,0.815357,35069,0.68063,0.739257,2308.0
20,0.11,0.940916,0.907832,0.92058,0.999413,0.958379,0.865816,9142,2058,14,23855,0.18375,0.000587,0.81625,35069,0.68063,0.738915,2338.0
21,0.115,0.941316,0.908457,0.921078,0.999413,0.958648,0.866714,9156,2044,14,23855,0.1825,0.000587,0.8175,35069,0.68063,0.738515,2324.0
22,0.12,0.941629,0.908995,0.921535,0.99933,0.958857,0.867399,9169,2031,16,23853,0.181339,0.00067,0.818661,35069,0.68063,0.738088,2351.0
23,0.125,0.941886,0.909444,0.92192,0.999246,0.959027,0.867956,9180,2020,18,23851,0.180357,0.000754,0.819643,35069,0.68063,0.737717,2380.0
24,0.13,0.942485,0.910477,0.9228,0.999078,0.959425,0.869263,9205,1995,22,23847,0.178125,0.000922,0.821875,35069,0.68063,0.73689,2435.0
25,0.135,0.942713,0.910905,0.923184,0.998953,0.959575,0.869746,9216,1984,25,23844,0.177143,0.001047,0.822857,35069,0.68063,0.736491,2484.0
26,0.14,0.943255,0.9118,0.923929,0.998869,0.959939,0.870947,9237,1963,27,23842,0.175268,0.001131,0.824732,35069,0.68063,0.735835,2503.0
27,0.145,0.943854,0.912785,0.924748,0.998785,0.960342,0.872277,9260,1940,29,23840,0.173214,0.001215,0.826786,35069,0.68063,0.735122,2520.0
28,0.15,0.944224,0.913389,0.925247,0.998743,0.960592,0.873103,9274,1926,30,23839,0.171964,0.001257,0.828036,35069,0.68063,0.734694,2526.0
29,0.155,0.944595,0.914017,0.925781,0.998659,0.96084,0.87392,9289,1911,32,23837,0.170625,0.001341,0.829375,35069,0.68063,0.73421,2551.0
30,0.16,0.944937,0.9146,0.926279,0.998576,0.961069,0.874672,9303,1897,34,23835,0.169375,0.001424,0.830625,35069,0.68063,0.733753,2577.0
31,0.165,0.945393,0.915362,0.926921,0.998492,0.961376,0.875682,9321,1879,36,23833,0.167768,0.001508,0.832232,35069,0.68063,0.733183,2599.0
32,0.17,0.945707,0.915948,0.927451,0.998324,0.961583,0.876352,9336,1864,40,23829,0.166429,0.001676,0.833571,35069,0.68063,0.732641,2664.0
33,0.175,0.946277,0.916912,0.928274,0.998199,0.961967,0.877612,9359,1841,43,23826,0.164375,0.001801,0.835625,35069,0.68063,0.7319,2701.0
34,0.18,0.946648,0.917611,0.928911,0.997989,0.962212,0.878403,9377,1823,48,23821,0.162768,0.002011,0.837232,35069,0.68063,0.731244,2783.0
35,0.185,0.946791,0.917905,0.929193,0.997863,0.962305,0.878698,9385,1815,51,23818,0.162054,0.002137,0.837946,35069,0.68063,0.73093,2835.0
36,0.19,0.947047,0.918378,0.92962,0.997738,0.962475,0.879252,9397,1803,54,23815,0.160982,0.002262,0.839018,35069,0.68063,0.730503,2883.0
37,0.195,0.947618,0.919318,0.930413,0.997654,0.962861,0.880523,9419,1781,56,23813,0.159018,0.002346,0.840982,35069,0.68063,0.729818,2901.0
38,0.2,0.948045,0.920106,0.931128,0.997444,0.963146,0.881448,9439,1761,61,23808,0.157232,0.002556,0.842768,35069,0.68063,0.729105,2981.0
39,0.205,0.948444,0.920802,0.931739,0.997319,0.963414,0.882325,9456,1744,64,23805,0.155714,0.002681,0.844286,35069,0.68063,0.728535,3024.0
40,0.21,0.948901,0.921564,0.932391,0.997235,0.963723,0.883341,9474,1726,66,23803,0.154107,0.002765,0.845893,35069,0.68063,0.727965,3046.0
41,0.215,0.949443,0.922507,0.933221,0.997067,0.964088,0.884535,9497,1703,70,23799,0.152054,0.002933,0.847946,35069,0.68063,0.727195,3103.0
42,0.22,0.949813,0.923206,0.933867,0.996858,0.964335,0.885334,9515,1685,75,23794,0.150446,0.003142,0.849554,35069,0.68063,0.726539,3185.0
43,0.225,0.95007,0.92375,0.934402,0.996606,0.964502,0.885868,9530,1670,81,23788,0.149107,0.003394,0.850893,35069,0.68063,0.72594,3290.0
44,0.23,0.950669,0.924758,0.935276,0.996481,0.964909,0.887203,9554,1646,84,23785,0.146964,0.003519,0.853036,35069,0.68063,0.72517,3326.0
45,0.235,0.951096,0.925546,0.935999,0.996271,0.965195,0.888135,9574,1626,89,23780,0.145179,0.003729,0.854821,35069,0.68063,0.724457,3406.0
46,0.24,0.951553,0.926355,0.936727,0.996104,0.965503,0.88914,9594,1606,93,23776,0.143393,0.003896,0.856607,35069,0.68063,0.723773,3466.0
47,0.245,0.951752,0.926905,0.93733,0.995685,0.965627,0.889521,9611,1589,103,23766,0.141875,0.004315,0.858125,35069,0.68063,0.723003,3649.0
48,0.25,0.951895,0.927389,0.937895,0.995224,0.965709,0.889768,9627,1573,114,23755,0.140446,0.004776,0.859554,35069,0.68063,0.722233,3853.0
49,0.255,0.952294,0.928109,0.938552,0.995056,0.965979,0.890649,9645,1555,118,23751,0.138839,0.004944,0.861161,35069,0.68063,0.721606,3915.0
50,0.26,0.952608,0.928694,0.939099,0.994889,0.966189,0.891336,9660,1540,122,23747,0.1375,0.005111,0.8625,35069,0.68063,0.721064,3980.0
51,0.265,0.952978,0.929346,0.939687,0.994763,0.966441,0.89216,9676,1524,125,23744,0.136071,0.005237,0.863929,35069,0.68063,0.720522,4024.0
52,0.27,0.953292,0.93005,0.94041,0.994386,0.966645,0.892817,9696,1504,134,23735,0.134286,0.005614,0.865714,35069,0.68063,0.719695,4184.0
53,0.275,0.953805,0.930996,0.941291,0.994135,0.966991,0.89395,9720,1480,140,23729,0.132143,0.005865,0.867857,35069,0.68063,0.71884,4280.0
54,0.28,0.953976,0.931382,0.94169,0.993925,0.967103,0.89431,9731,1469,145,23724,0.131161,0.006075,0.868839,35069,0.68063,0.718384,4369.0
55,0.285,0.954205,0.931834,0.94213,0.993758,0.967255,0.894806,9743,1457,149,23720,0.130089,0.006242,0.869911,35069,0.68063,0.717928,4437.0
56,0.29,0.954803,0.932866,0.943057,0.99359,0.967664,0.89615,9768,1432,153,23716,0.127857,0.00641,0.872143,35069,0.68063,0.717101,4492.0
57,0.295,0.955317,0.933788,0.943909,0.993381,0.968013,0.897294,9791,1409,158,23711,0.125804,0.006619,0.874196,35069,0.68063,0.716302,4569.0
58,0.3,0.955744,0.934553,0.944615,0.993213,0.968305,0.898249,9810,1390,162,23707,0.124107,0.006787,0.875893,35069,0.68063,0.715646,4630.0
59,0.305,0.956172,0.935317,0.945322,0.993045,0.968596,0.899205,9829,1371,166,23703,0.122411,0.006955,0.877589,35069,0.68063,0.71499,4691.0
60,0.31,0.956486,0.935903,0.945879,0.992878,0.968809,0.899902,9844,1356,170,23699,0.121071,0.007122,0.878929,35069,0.68063,0.714449,4756.0
61,0.315,0.956885,0.93667,0.946622,0.992626,0.969078,0.900785,9864,1336,176,23693,0.119286,0.007374,0.880714,35069,0.68063,0.713707,4856.0
62,0.32,0.957284,0.937414,0.947331,0.992417,0.96935,0.901675,9883,1317,181,23688,0.117589,0.007583,0.882411,35069,0.68063,0.713023,4937.0
63,0.325,0.957683,0.938228,0.948148,0.992082,0.969618,0.902552,9905,1295,189,23680,0.115625,0.007918,0.884375,35069,0.68063,0.712167,5075.0
64,0.33,0.957969,0.938935,0.948924,0.991621,0.969803,0.903157,9926,1274,200,23669,0.11375,0.008379,0.88625,35069,0.68063,0.711255,5274.0
65,0.335,0.958026,0.939309,0.949432,0.991118,0.969827,0.903239,9940,1260,212,23657,0.1125,0.008882,0.8875,35069,0.68063,0.710514,5500.0
66,0.34,0.958282,0.9399,0.950064,0.990783,0.969997,0.903797,9957,1243,220,23649,0.110982,0.009217,0.889018,35069,0.68063,0.709801,5643.0
67,0.345,0.958453,0.940334,0.950547,0.99049,0.970107,0.904163,9970,1230,227,23642,0.109821,0.00951,0.890179,35069,0.68063,0.70923,5770.0
68,0.35,0.958482,0.940616,0.950948,0.990071,0.970115,0.904193,9981,1219,237,23632,0.108839,0.009929,0.891161,35069,0.68063,0.708632,5959.0
69,0.355,0.958938,0.941449,0.951742,0.989861,0.970428,0.905225,10002,1198,242,23627,0.106964,0.010139,0.893036,35069,0.68063,0.70789,6038.0
70,0.36,0.959309,0.942124,0.952387,0.989694,0.970682,0.906065,10019,1181,246,23623,0.105446,0.010306,0.894554,35069,0.68063,0.707291,6101.0
71,0.365,0.959708,0.942843,0.953071,0.989526,0.970956,0.906972,10037,1163,250,23619,0.103839,0.010474,0.896161,35069,0.68063,0.706664,6163.0
72,0.37,0.96005,0.943592,0.953862,0.989149,0.971185,0.907733,10058,1142,259,23610,0.101964,0.010851,0.898036,35069,0.68063,0.705809,6322.0
73,0.375,0.960421,0.944315,0.954584,0.988898,0.971438,0.908571,10077,1123,265,23604,0.100268,0.011102,0.899732,35069,0.68063,0.705096,6423.0
74,0.38,0.960649,0.944838,0.955151,0.988604,0.97159,0.909079,10092,1108,272,23597,0.098929,0.011396,0.901071,35069,0.68063,0.704468,6548.0
75,0.385,0.960849,0.945269,0.955606,0.988395,0.971724,0.909528,10104,1096,277,23592,0.097857,0.011605,0.902143,35069,0.68063,0.703984,6636.0
