,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.938464,0.903732,0.917182,0.999874,0.956745,0.860421,9045,2155,3,23866,0.192411,0.000126,0.807589,35069,0.68063,0.741994,2215.0
1,0.015,0.939861,0.90599,0.919009,0.999749,0.95768,0.863529,9097,2103,6,23863,0.187768,0.000251,0.812232,35069,0.68063,0.740426,2223.0
2,0.02,0.941259,0.908178,0.920747,0.999749,0.958623,0.866673,9146,2054,6,23863,0.183393,0.000251,0.816607,35069,0.68063,0.739029,2174.0
3,0.025,0.942827,0.910681,0.922771,0.999665,0.95968,0.870181,9203,1997,8,23861,0.178304,0.000335,0.821696,35069,0.68063,0.737346,2157.0
4,0.03,0.943854,0.912359,0.924156,0.999539,0.96037,0.87246,9242,1958,11,23858,0.174821,0.000461,0.825179,35069,0.68063,0.736149,2178.0
5,0.035,0.944823,0.913971,0.925506,0.999372,0.961022,0.874603,9280,1920,15,23854,0.171429,0.000628,0.828571,35069,0.68063,0.734951,2220.0
6,0.04,0.945536,0.91523,0.926604,0.99912,0.961497,0.87615,9311,1889,21,23848,0.168661,0.00088,0.831339,35069,0.68063,0.733896,2309.0
7,0.045,0.946163,0.916307,0.927529,0.998953,0.961917,0.877525,9337,1863,25,23844,0.166339,0.001047,0.833661,35069,0.68063,0.733041,2363.0
8,0.05,0.946819,0.917452,0.928527,0.998743,0.962356,0.878957,9365,1835,30,23839,0.163839,0.001257,0.836161,35069,0.68063,0.7321,2435.0
9,0.055,0.947589,0.918752,0.929638,0.998576,0.962875,0.880657,9396,1804,34,23835,0.161071,0.001424,0.838929,35069,0.68063,0.731102,2484.0
10,0.06,0.948216,0.919829,0.930571,0.998408,0.963297,0.882037,9422,1778,38,23831,0.15875,0.001592,0.84125,35069,0.68063,0.730246,2538.0
11,0.065,0.948758,0.920796,0.931431,0.998199,0.96366,0.883216,9446,1754,43,23826,0.156607,0.001801,0.843393,35069,0.68063,0.729419,2614.0
12,0.07,0.949328,0.921783,0.932295,0.998031,0.964044,0.88447,9470,1730,47,23822,0.154464,0.001969,0.845536,35069,0.68063,0.728621,2670.0
13,0.075,0.949899,0.922818,0.933229,0.99778,0.964425,0.885708,9496,1704,53,23816,0.152143,0.00222,0.847857,35069,0.68063,0.727708,2764.0
14,0.08,0.950384,0.923696,0.934021,0.99757,0.96475,0.886763,9518,1682,58,23811,0.150179,0.00243,0.849821,35069,0.68063,0.726938,2842.0
15,0.085,0.95064,0.924216,0.934521,0.997361,0.964919,0.887303,9532,1668,63,23806,0.148929,0.002639,0.851071,35069,0.68063,0.726397,2928.0
16,0.09,0.951182,0.925135,0.935322,0.997235,0.965287,0.888506,9554,1646,66,23803,0.146964,0.002765,0.853036,35069,0.68063,0.725684,2966.0
