,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.841624,0.857628,0.736993,1.0,0.848585,0.726043,12228,4868,0,13641,0.284745,0.0,0.715255,30737,0.443797,0.602173,4868.0
1,0.015,0.841722,0.857715,0.737112,1.0,0.848664,0.72619,12231,4865,0,13641,0.284569,0.0,0.715431,30737,0.443797,0.602076,4865.0
2,0.02,0.841884,0.857861,0.737311,1.0,0.848796,0.726437,12236,4860,0,13641,0.284277,0.0,0.715723,30737,0.443797,0.601913,4860.0
3,0.025,0.84221,0.858154,0.73771,1.0,0.84906,0.72693,12246,4850,0,13641,0.283692,0.0,0.716308,30737,0.443797,0.601588,4850.0
4,0.03,0.842437,0.858359,0.73799,1.0,0.849245,0.727276,12253,4843,0,13641,0.283283,0.0,0.716717,30737,0.443797,0.60136,4843.0
5,0.035,0.842763,0.858651,0.738389,1.0,0.84951,0.727769,12263,4833,0,13641,0.282698,0.0,0.717302,30737,0.443797,0.601035,4833.0
6,0.04,0.84286,0.858739,0.738509,1.0,0.849589,0.727917,12266,4830,0,13641,0.282522,0.0,0.717478,30737,0.443797,0.600937,4830.0
7,0.045,0.842958,0.858812,0.738681,0.999853,0.84965,0.727996,12271,4825,2,13639,0.28223,0.000147,0.71777,30737,0.443797,0.600709,4865.0
8,0.05,0.843088,0.858929,0.738841,0.999853,0.849755,0.728193,12275,4821,2,13639,0.281996,0.000147,0.718004,30737,0.443797,0.600579,4861.0
9,0.055,0.843381,0.859185,0.739227,0.99978,0.849984,0.728603,12285,4811,3,13638,0.281411,0.00022,0.718589,30737,0.443797,0.600221,4871.0
10,0.06,0.843706,0.859477,0.739628,0.99978,0.850249,0.729098,12295,4801,3,13638,0.280826,0.00022,0.719174,30737,0.443797,0.599896,4861.0
11,0.065,0.844259,0.859974,0.74031,0.99978,0.8507,0.729938,12312,4784,3,13638,0.279832,0.00022,0.720168,30737,0.443797,0.599343,4844.0
12,0.07,0.844747,0.860413,0.740914,0.99978,0.851098,0.730681,12327,4769,3,13638,0.278954,0.00022,0.721046,30737,0.443797,0.598855,4829.0
13,0.075,0.845496,0.861063,0.74192,0.99956,0.851682,0.731717,12353,4743,6,13635,0.277433,0.00044,0.722567,30737,0.443797,0.597911,4863.0
14,0.08,0.846211,0.861692,0.742862,0.999414,0.852249,0.732739,12377,4719,8,13633,0.276029,0.000586,0.723971,30737,0.443797,0.597065,4879.0
15,0.085,0.84683,0.862225,0.743711,0.999194,0.852728,0.733581,12399,4697,11,13630,0.274743,0.000806,0.725257,30737,0.443797,0.596252,4917.0
16,0.09,0.847675,0.862964,0.744848,0.998974,0.853394,0.734771,12428,4668,14,13627,0.273046,0.001026,0.726954,30737,0.443797,0.595211,4948.0
17,0.095,0.848814,0.863972,0.74633,0.998827,0.854312,0.736447,12465,4631,16,13625,0.270882,0.001173,0.729118,30737,0.443797,0.593942,4951.0
