,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
0,0.01,0.899693,0.902198,0.829318,0.999898,0.906654,0.816702,8337,2026,1,9844,0.195503,0.000102,0.804497,20208,0.487183,0.587391,2046.0
1,0.015,0.900782,0.903257,0.830913,0.999797,0.907565,0.818504,8360,2003,2,9843,0.193284,0.000203,0.806716,20208,0.487183,0.586203,2043.0
2,0.02,0.90197,0.904412,0.832657,0.999695,0.908562,0.820477,8385,1978,3,9842,0.190871,0.000305,0.809129,20208,0.487183,0.584917,2038.0
3,0.025,0.903355,0.90575,0.834918,0.999187,0.909696,0.822658,8418,1945,8,9837,0.187687,0.000813,0.812313,20208,0.487183,0.583036,2105.0
4,0.03,0.904295,0.906662,0.836381,0.998984,0.91048,0.824188,8439,1924,10,9835,0.185661,0.001016,0.814339,20208,0.487183,0.581898,2124.0
5,0.035,0.905137,0.907472,0.837822,0.998578,0.911164,0.825489,8460,1903,14,9831,0.183634,0.001422,0.816366,20208,0.487183,0.580661,2183.0
6,0.04,0.905681,0.90799,0.838897,0.99807,0.911587,0.826255,8476,1887,19,9826,0.18209,0.00193,0.81791,20208,0.487183,0.579622,2267.0
7,0.045,0.90677,0.909049,0.840534,0.997969,0.91251,0.828081,8499,1864,20,9825,0.179871,0.002031,0.820129,20208,0.487183,0.578434,2264.0
8,0.05,0.907512,0.909765,0.84179,0.997664,0.913122,0.829255,8517,1846,23,9822,0.178134,0.002336,0.821866,20208,0.487183,0.577395,2306.0
9,0.055,0.908205,0.910425,0.843154,0.997054,0.913669,0.830256,8537,1826,29,9816,0.176204,0.002946,0.823796,20208,0.487183,0.576108,2406.0
10,0.06,0.909145,0.911337,0.844651,0.996851,0.914461,0.831807,8558,1805,31,9814,0.174177,0.003149,0.825823,20208,0.487183,0.57497,2425.0
11,0.065,0.910432,0.912586,0.846665,0.996648,0.915555,0.833958,8586,1777,33,9812,0.171475,0.003352,0.828525,20208,0.487183,0.573486,2437.0
12,0.07,0.910926,0.913048,0.847877,0.995835,0.915919,0.834572,8604,1759,41,9804,0.169738,0.004165,0.830262,20208,0.487183,0.572199,2579.0
13,0.075,0.911273,0.913371,0.848753,0.995226,0.916172,0.834994,8617,1746,47,9798,0.168484,0.004774,0.831516,20208,0.487183,0.571259,2686.0
14,0.08,0.912213,0.914285,0.850213,0.995124,0.916979,0.836589,8637,1726,48,9797,0.166554,0.004876,0.833446,20208,0.487183,0.57022,2686.0
15,0.085,0.912955,0.915001,0.851504,0.99482,0.9176,0.837788,8655,1708,51,9794,0.164817,0.00518,0.835183,20208,0.487183,0.569181,2728.0
16,0.09,0.913797,0.915806,0.853133,0.99421,0.918285,0.839077,8678,1685,57,9788,0.162598,0.00579,0.837402,20208,0.487183,0.567745,2825.0
17,0.095,0.914687,0.916672,0.854536,0.994109,0.919053,0.840596,8697,1666,58,9787,0.160764,0.005891,0.839236,20208,0.487183,0.566756,2826.0
18,0.1,0.915479,0.917424,0.85623,0.993296,0.919684,0.841755,8721,1642,66,9779,0.158448,0.006704,0.841552,20208,0.487183,0.565172,2962.0
19,0.105,0.91632,0.918231,0.85782,0.992788,0.920382,0.843087,8743,1620,71,9774,0.156325,0.007212,0.843675,20208,0.487183,0.563836,3040.0
20,0.11,0.916766,0.91865,0.858876,0.992179,0.920728,0.843706,8758,1605,77,9768,0.154878,0.007821,0.845122,20208,0.487183,0.562797,3145.0
21,0.115,0.917607,0.919468,0.860225,0.992077,0.921459,0.845153,8776,1587,78,9767,0.153141,0.007923,0.846859,20208,0.487183,0.561857,3147.0
22,0.12,0.918102,0.919935,0.861366,0.991468,0.921849,0.845865,8792,1571,84,9761,0.151597,0.008532,0.848403,20208,0.487183,0.560768,3251.0
23,0.125,0.918795,0.920606,0.86256,0.991265,0.922444,0.847031,8808,1555,86,9759,0.150053,0.008735,0.849947,20208,0.487183,0.559877,3275.0
24,0.13,0.919586,0.92137,0.863974,0.99096,0.923121,0.848348,8827,1536,89,9756,0.14822,0.00904,0.85178,20208,0.487183,0.558789,3316.0
25,0.135,0.920032,0.921794,0.864922,0.990554,0.923485,0.849032,8840,1523,93,9752,0.146965,0.009446,0.853035,20208,0.487183,0.557947,3383.0
26,0.14,0.920724,0.922467,0.866063,0.990452,0.92409,0.85023,8855,1508,94,9751,0.145518,0.009548,0.854482,20208,0.487183,0.557156,3388.0
27,0.145,0.921417,0.923135,0.867337,0.990147,0.924682,0.851381,8872,1491,97,9748,0.143877,0.009853,0.856123,20208,0.487183,0.556166,3431.0
28,0.15,0.92216,0.923856,0.868562,0.990046,0.925333,0.85267,8888,1475,98,9747,0.142333,0.009954,0.857667,20208,0.487183,0.555325,3435.0
29,0.155,0.922407,0.924087,0.869212,0.989639,0.925525,0.853012,8897,1466,102,9743,0.141465,0.010361,0.858535,20208,0.487183,0.554681,3506.0
30,0.16,0.92305,0.924709,0.870354,0.989436,0.926083,0.854106,8912,1451,104,9741,0.140017,0.010564,0.859983,20208,0.487183,0.55384,3531.0
31,0.165,0.924139,0.925758,0.872401,0.988928,0.927017,0.855924,8939,1424,109,9736,0.137412,0.011072,0.862588,20208,0.487183,0.552257,3604.0
32,0.17,0.924584,0.926185,0.873306,0.988624,0.927394,0.856648,8951,1412,112,9733,0.136254,0.011376,0.863746,20208,0.487183,0.551514,3652.0
33,0.175,0.92498,0.926556,0.874337,0.988014,0.927706,0.857219,8965,1398,118,9727,0.134903,0.011986,0.865097,20208,0.487183,0.550525,3758.0
34,0.18,0.925376,0.926929,0.875304,0.987506,0.928026,0.857814,8978,1385,123,9722,0.133649,0.012494,0.866351,20208,0.487183,0.549634,3845.0
35,0.185,0.925772,0.92731,0.87607,0.987303,0.928367,0.858478,8988,1375,125,9720,0.132684,0.012697,0.867316,20208,0.487183,0.54904,3875.0
36,0.19,0.926267,0.927775,0.877337,0.986592,0.928763,0.859212,9005,1358,132,9713,0.131043,0.013408,0.868957,20208,0.487183,0.547852,3998.0
37,0.195,0.926811,0.928295,0.878484,0.986186,0.929224,0.860103,9020,1343,136,9709,0.129596,0.013814,0.870404,20208,0.487183,0.546912,4063.0
38,0.2,0.927108,0.928574,0.879235,0.98578,0.929464,0.860552,9030,1333,140,9705,0.128631,0.01422,0.871369,20208,0.487183,0.546219,4133.0
39,0.205,0.927603,0.929054,0.880102,0.985678,0.929903,0.861421,9041,1322,141,9704,0.127569,0.014322,0.872431,20208,0.487183,0.545625,4142.0
40,0.21,0.927999,0.92943,0.881017,0.985272,0.930233,0.862051,9053,1310,145,9700,0.126411,0.014728,0.873589,20208,0.487183,0.544834,4210.0
41,0.215,0.928197,0.929608,0.881754,0.984662,0.930371,0.862285,9063,1300,151,9694,0.125446,0.015338,0.874554,20208,0.487183,0.544042,4320.0
