,count,mean,std,min,1%,25%,50%,75%,99%,max
id,80648.0,63377.825996924905,44512.850041280384,1.0,1018.47,25642.5,53874.0,97740.25,168116.12,175300.0
dur,80648.0,1.2699888159780777,4.96087829447757,0.0,1e-06,0.00537,0.37429250000000003,1.00454925,26.75237647999978,59.999989
spkts,80648.0,31.632563733756573,175.91505611913672,1.0,2.0,6.0,10.0,22.0,346.0,9616.0
dpkts,80648.0,32.013651919452435,143.03083108670492,0.0,0.0,4.0,8.0,20.0,610.0,10974.0
sbytes,80648.0,14404.482082630691,225591.30102082278,28.0,78.0,536.0,994.0,2843.75,136017.0,12965233.0
dbytes,80648.0,25277.027341037596,187473.7914993928,0.0,0.0,268.0,642.0,3380.0,645754.0,14655550.0
rate,80648.0,28627.19992079609,101418.38814354675,0.0,0.5305948500000001,25.623987,76.296408,2973.240834,500000.0013,1000000.003
sttl,80648.0,135.92676817776015,107.32941743782882,0.0,31.0,31.0,62.0,254.0,254.0,255.0
dttl,80648.0,129.63226614423172,115.4064685490518,0.0,0.0,29.0,29.0,252.0,252.0,254.0
sload,80648.0,42447726.337933816,210197783.93010262,0.0,221.37667139000004,8914.7556155,53422.75,748476.4375,997333312.0,5600000000.0
dload,80648.0,1161889.6176113405,3100682.8147921935,0.0,0.0,2773.8796997500003,9585.107910499999,621291.4375,15726238.999999998,22422730.0
sloss,80648.0,8.35197401051483,85.1692844958501,0.0,0.0,1.0,2.0,6.0,56.0,4803.0
dloss,80648.0,11.722336573752603,68.6889409673637,0.0,0.0,0.0,2.0,7.0,231.0,5484.0
sinpkt,80648.0,462.84886538623397,4616.907278894966,0.0,0.001,0.41132875,23.792254,77.31029050000001,5470.315475959938,84371.496
dinpkt,80648.0,112.80535954084417,1131.7428789249238,0.0,0.0,0.248608,22.344623499999997,86.37172825,542.3688683899998,56716.824
sjit,80648.0,5748.728497333536,41658.03393564186,0.0,0.0,12.05225725,1411.7035275,4506.672002249999,35145.12505139998,1460480.016
djit,80648.0,856.0727200042778,4702.934874017806,0.0,0.0,0.37519175,73.493043,196.0219025,10051.0047494,289388.2697
swin,80648.0,192.3873127665906,109.74835183985118,0.0,0.0,255.0,255.0,255.0,255.0,255.0
stcpb,80648.0,1611077036.4679968,1421631366.5183198,0.0,0.0,0.0,1433794786.0,2868727673.0,4236688739.68,4294958913.0
dtcpb,80648.0,1605718130.7977507,1419141202.4520752,0.0,0.0,0.0,1418260396.0,2861041333.25,4238108566.15,4294881924.0
dwin,80648.0,190.86969298680685,110.63525692759475,0.0,0.0,0.0,255.0,255.0,255.0,255.0
tcprtt,80648.0,0.06719012457841483,0.09186462177998672,0.0,0.0,0.0,0.00079,0.12822250000000002,0.30699924,2.518893
synack,80648.0,0.034131789988592405,0.05132145539234448,0.0,0.0,0.0,0.000624,0.06574625,0.17347065,2.100352
ackdat,80648.0,0.03305833458982244,0.046881134449357806,0.0,0.0,0.0,0.000155,0.059888,0.1632554499999999,1.520884
smean,80648.0,174.8177760142843,254.03013987504983,28.0,45.0,58.0,79.0,132.0,1211.0,1504.0
dmean,80648.0,208.27600188473366,309.18976179045393,0.0,0.0,44.0,80.0,152.0,1276.0,1458.0
trans_depth,80648.0,0.17789653804186092,1.110656374698836,0.0,0.0,0.0,0.0,0.0,1.0,172.0
response_body_len,80648.0,3690.5562320206327,69223.0667198693,0.0,0.0,0.0,0.0,0.0,14528.099999999686,6558056.0
ct_srv_src,80648.0,5.10010167642099,6.4192639596145655,1.0,1.0,1.0,3.0,6.0,34.0,63.0
ct_state_ttl,80648.0,0.7961015772244817,0.8418473800191147,0.0,0.0,0.0,1.0,1.0,3.0,6.0
ct_dst_ltm,80648.0,3.128447078662831,4.1247193921236605,1.0,1.0,1.0,2.0,3.0,22.0,51.0
ct_src_dport_ltm,80648.0,1.9608297787917865,3.430367581258194,1.0,1.0,1.0,1.0,1.0,18.0,51.0
ct_dst_sport_ltm,80648.0,1.3928677710544588,2.1239166250636963,1.0,1.0,1.0,1.0,1.0,16.0,46.0
ct_dst_src_ltm,80648.0,3.92308550739014,6.256221028201737,1.0,1.0,1.0,2.0,4.0,35.0,65.0
is_ftp_login,80648.0,0.018748140065469696,0.1380813533980927,0.0,0.0,0.0,0.0,0.0,1.0,4.0
ct_ftp_cmd,80648.0,0.018748140065469696,0.1380813533980927,0.0,0.0,0.0,0.0,0.0,1.0,4.0
ct_flw_http_mthd,80648.0,0.19149885924015475,0.586345169168221,0.0,0.0,0.0,0.0,0.0,1.0,30.0
ct_src_ltm,80648.0,3.8720117051879774,4.971673084588472,1.0,1.0,1.0,2.0,4.0,26.0,51.0
ct_srv_dst,80648.0,4.770818867175875,6.341803464186672,1.0,1.0,1.0,3.0,6.0,34.0,62.0
is_sm_ips_ports,80648.0,0.005530205336772146,0.07415989724551483,0.0,0.0,0.0,0.0,0.0,0.0,1.0
label,80648.0,0.487550838210495,0.49984809330268726,0.0,0.0,0.0,0.0,1.0,1.0,1.0
