,iqr_outlier_fraction
swin,0.24559815494494594
ct_src_dport_ltm,0.22637883146513244
dmean,0.20067453625632378
dbytes,0.19903779386965578
sload,0.17346989385973613
trans_depth,0.16941523658367225
ct_flw_http_mthd,0.16941523658367225
spkts,0.16322785437952583
smean,0.1469100287669874
rate,0.14290496974506497
djit,0.1363332010713223
dpkts,0.13597361372879674
dload,0.13193135601626824
dloss,0.11963098898918759
sbytes,0.11851502827100487
response_body_len,0.10623946037099494
ct_src_ltm,0.09638180736038092
ct_dst_ltm,0.09510465231623846
sloss,0.08168832457097511
ct_dst_src_ltm,0.07980359091359984
dur,0.07041712131732963
ct_dst_sport_ltm,0.06834639420692391
ct_srv_src,0.0651225076877294
ct_srv_dst,0.05988989187580597
sinpkt,0.047490328340442416
sjit,0.04442763614720762
dinpkt,0.03697549846245412
is_ftp_login,0.018562146612439243
ct_ftp_cmd,0.018562146612439243
ct_state_ttl,0.01848774923122706
ackdat,0.01419750024799127
synack,0.012746751314353735
tcprtt,0.008121714115663129
is_sm_ips_ports,0.005530205336772146
sttl,0.0
dwin,0.0
dtcpb,0.0
stcpb,0.0
dttl,0.0
