feature,mean_abs_shap
numeric__sttl,3.3952327
numeric__ct_state_ttl,0.66667336
numeric__ct_srv_dst,0.5255355
numeric__dbytes,0.23581675
numeric__ct_dst_src_ltm,0.22232635
categorical__service_dns,0.20571311
numeric__sbytes,0.17703596
numeric__ct_srv_src,0.17603746
numeric__dmean,0.15856215
numeric__smean,0.11641769
numeric__ct_dst_sport_ltm,0.11134378
numeric__synack,0.10671792
numeric__bytes_per_packet,0.09476371
numeric__dur,0.075248614
categorical__service_-,0.069164984
numeric__dloss,0.06840872
numeric__ct_dst_ltm,0.06489597
numeric__source_byte_share,0.06299015
numeric__tcprtt,0.059506975
numeric__trans_depth,0.05670799
numeric__total_bytes,0.052533187
numeric__sjit,0.047339935
numeric__sload,0.042235024
numeric__sloss,0.0389669
numeric__sinpkt,0.037870638
numeric__dload,0.036465734
numeric__ackdat,0.0356094
numeric__dpkts,0.035364795
numeric__ct_src_ltm,0.030635368
categorical__service_http,0.028622124
numeric__djit,0.026389679
numeric__dinpkt,0.02450819
numeric__dtcpb,0.023145746
numeric__response_body_len,0.019664546
numeric__bytes_per_second,0.019042809
numeric__rate,0.018868998
numeric__ct_src_dport_ltm,0.017196078
numeric__dttl,0.016980669
numeric__spkts,0.016963813
categorical__state_CON,0.011784656
numeric__stcpb,0.011166802
numeric__source_packet_share,0.010559103
numeric__total_packets,0.009567352
categorical__proto_udp,0.008326224
numeric__swin,0.00826942
numeric__ct_flw_http_mthd,0.00620277
categorical__service_smtp,0.004324409
categorical__proto_infrequent_sklearn,0.0041525005
categorical__service_ftp,0.0037779536
categorical__proto_unas,0.002343576
categorical__state_RST,0.0007162655
categorical__state_infrequent_sklearn,0.0004161691
categorical__state_INT,0.0002983417
numeric__is_ftp_login,0.00021959624
numeric__dwin,0.00012619409
categorical__service_pop3,5.4889446e-05
numeric__ct_ftp_cmd,0.0
numeric__is_sm_ips_ports,0.0
categorical__service_dhcp,0.0
categorical__proto_arp,0.0
categorical__proto_sctp,0.0
categorical__proto_tcp,0.0
categorical__proto_ospf,0.0
categorical__service_ssh,0.0
categorical__service_snmp,0.0
categorical__service_ftp-data,0.0
categorical__service_irc,0.0
categorical__state_FIN,0.0
categorical__service_infrequent_sklearn,0.0
categorical__service_ssl,0.0
categorical__state_REQ,0.0
