,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
dur,1.0,0.5342961945556205,0.5091322958855342,0.43455499177131174,0.46052347243991065,-0.8483928762060936,0.1784179564195976,0.7168091473118544,-0.8018823535551919,-0.09310630713972473,0.52450896007805,0.470859006490187,0.8713356523316861,0.842816633785274,0.8967895759978232,0.8405646254639119,0.6808491150120904,0.510170763382911,0.5147623212667902,0.6773471041001815,0.7544780835416512,0.7477098187095357,0.7518756797817302,0.027207453248210153,0.21505257660148458,0.24857111623692685,0.21910565612958308,-0.37414315937526305,0.02266834137149193,-0.37646356996294944,-0.2622613206539249,-0.22558496797644037,-0.2825153276526581,0.133798842086248,0.133798842086248,0.24867448806879786,-0.3461781558204568,-0.41395929910243756,-0.08969855010203877
spkts,0.5342961945556205,1.0,0.9299562908967799,0.8739073097782082,0.8485961054488862,-0.18918911308459413,-0.2935259353850837,0.28700700895488956,-0.1545600817697809,0.4831047454879262,0.9535490619129028,0.8945669777808831,0.2731964668716913,0.3565682978181607,0.3562655069402542,0.48354212860200846,0.7380230941004683,0.565554378737385,0.563501347549554,0.7473538752876835,0.3870365754993329,0.38780523378820647,0.3838127000595503,0.09101763506342592,0.5729731784389551,0.028928521620989814,0.03775484058912607,-0.09378047421681439,-0.41506711271935004,-0.07724427163026158,-0.27898098847218455,-0.2738972324423911,-0.21752119577066237,0.1417250433978833,0.1417250433978833,0.028725869400515195,-0.0756907060299275,-0.10365431707312597,-0.12571435933498679
dpkts,0.5091322958855342,0.9299562908967799,1.0,0.7629319134644066,0.9626204968087307,-0.17494099211265948,-0.4399439413064153,0.2664209522189471,-0.20360784718363592,0.6191590801592182,0.8819389817451827,0.9615116898493112,0.27829337655208775,0.3346020752685864,0.36798599252918773,0.533678132656677,0.7321150555152084,0.5665096618336352,0.5630137621765141,0.7467510614787009,0.3433288391730252,0.34283035561903796,0.34536596855825813,-0.026328877162820508,0.7376564088423933,0.08739620346398809,0.16732547044438817,-0.13638571614863024,-0.523769935207917,-0.04777791600683279,-0.30726994428923327,-0.3103782125618668,-0.2618380264505275,0.14606022738761748,0.14606022738761748,0.08716859798597708,-0.0461338476218033,-0.1348648597390588,-0.11171966974665605
sbytes,0.43455499177131174,0.8739073097782082,0.7629319134644066,1.0,0.6847337143878968,-0.11837141761740431,-0.2277872678733557,0.20555585438199445,0.02330212442503253,0.35865650812408595,0.8564148637106249,0.7331806693775996,0.19176827222650708,0.2715109299564188,0.2736127127533266,0.35967431988498066,0.6112773165793989,0.4744693846100964,0.47342857116243375,0.6261688135825193,0.3100773180717796,0.30878127216994355,0.30962683389169515,0.48443785910773635,0.42315903840586133,0.08161172285218965,0.05309348722606428,-0.09834119758344861,-0.31589405459041936,-0.06828089488936995,-0.23998331393725394,-0.2929381630269472,-0.18589742703016615,0.06636653321201215,0.06636653321201215,0.081207432296526,-0.07035914679788172,-0.10735389230806326,-0.12782210513199682
dbytes,0.46052347243991065,0.8485961054488862,0.9626204968087307,0.6847337143878968,1.0,-0.1584238792558202,-0.5096610823855582,0.23077002848971226,-0.2110381986651068,0.6872951350856449,0.7810894971122649,0.9440330916259847,0.27472944947425787,0.2996796655654538,0.35492667402055605,0.5443215430934614,0.6930654574895748,0.5377693295214386,0.5335963448541629,0.707960193369575,0.29032512278652767,0.2892676941408083,0.2957640691600745,-0.05233071336718681,0.8504573816938286,0.17140752228767075,0.3017174473818752,-0.1371155115886082,-0.5582687416707756,-0.021525030836045095,-0.32328293228059984,-0.31255947915615373,-0.26486782498131517,0.0861481305273179,0.0861481305273179,0.17111407530656741,-0.02564759365391529,-0.12891827901933733,-0.11144864684119875
rate,-0.8483928762060936,-0.18918911308459413,-0.17494099211265948,-0.11837141761740431,-0.1584238792558202,1.0,-0.2846221549246794,-0.7659967924232397,0.9349376571943705,0.2708493104277537,-0.21236369830850507,-0.15869073293051195,-0.9593580301056193,-0.8764843961507768,-0.8952430522299207,-0.7386878564700935,-0.5529144923223945,-0.41348446918418913,-0.4203066065995452,-0.5500546579540474,-0.7668502631729864,-0.7605432464899953,-0.7584917712502299,0.01596806523487943,-0.014046674894147649,-0.2527330686509092,-0.18668823104045634,0.3640513080707198,-0.13807752458906733,0.41604080183645986,0.20048841637976086,0.18054648000763796,0.24064772461939485,-0.06647972206049482,-0.06647972206049482,-0.25302160882474634,0.37501274099561893,0.4065680998985029,-0.1273889473825747
sttl,0.1784179564195976,-0.2935259353850837,-0.4399439413064153,-0.2277872678733557,-0.5096610823855582,-0.2846221549246794,1.0,0.38640703242259855,-0.22065585118655995,-0.8107781468640795,-0.2442760158667458,-0.40818629936632794,0.2656459035258728,0.31822502762814264,0.277828611202173,0.13031681861455727,0.004792229489608865,-0.010855811473646663,-0.004705787360595357,-0.009483834229738463,0.4115829591011632,0.41267346054534465,0.4071194993199667,0.013516676233194684,-0.6926166052873202,0.04300659509682555,-0.14021758764226636,-0.06447123303145529,0.837799431310175,-0.37658817781804943,0.13848730723651742,0.19268843365287558,0.06401586417761984,-0.05527627726652646,-0.05527627726652646,0.0430796864867387,-0.30044289304471666,-0.14255053189927244,-0.13844978591663948
dttl,0.7168091473118544,0.28700700895488956,0.2664209522189471,0.20555585438199445,0.23077002848971226,-0.7659967924232397,0.38640703242259855,1.0,-0.7273146297016146,-0.07266846812952003,0.3155281187825479,0.24719802478041303,0.7303969997366063,0.8346330596030963,0.7549171578572353,0.6676268662763822,0.662820890357104,0.5133405588346286,0.5166007086693525,0.6798833332286665,0.8874472697911298,0.8864767206064912,0.8879518823171736,0.03745942315447316,0.09215462446340325,0.284644168422803,0.14624935458187374,-0.4152105381593868,0.1569870606113283,-0.5317181283126305,-0.26670416825764826,-0.2828565002904752,-0.3141706786526142,0.03513047729280017,0.03513047729280017,0.2852702185648959,-0.463516872052829,-0.4667708709140153,-0.12146681775546228
sload,-0.8018823535551919,-0.1545600817697809,-0.20360784718363592,0.02330212442503253,-0.2110381986651068,0.9349376571943705,-0.22065585118655995,-0.7273146297016146,1.0,0.17574385476462082,-0.14592790524151197,-0.20580686476076052,-0.9152097666319691,-0.7987849669182967,-0.8509515497907051,-0.7497535640004038,-0.5335723451874416,-0.39795282748291366,-0.40371012967417463,-0.5297080979504777,-0.7003062926490402,-0.6964031533100717,-0.6965557887433598,0.28047367158417225,-0.12092615191825566,-0.2518289332528859,-0.22273158329143972,0.3555070250967911,-0.09217910079439195,0.3882783299042221,0.19730069919499532,0.1719397882248374,0.24093894415600742,-0.10357656008505682,-0.10357656008505682,-0.25211986695565164,0.353603838806787,0.3896818951624067,-0.1273657234043656
dload,-0.09310630713972473,0.4831047454879262,0.6191590801592182,0.35865650812408595,0.6872951350856449,0.2708493104277537,-0.8107781468640795,-0.07266846812952003,0.17574385476462082,1.0,0.4057098070065457,0.5840666525456784,-0.2391342101439554,-0.17228139944074558,-0.19020586117960323,0.004600094563752011,0.24520222509177664,0.20216014987818012,0.1958551070599346,0.26362069679419575,-0.1744123421099144,-0.17084214497505312,-0.16530182620741257,-0.05497880297640845,0.8530884722707605,0.032316995386956746,0.14462939897035573,0.01254657115405773,-0.8534830506783548,0.20903351154368116,-0.24625488814438323,-0.32437596515383005,-0.16877931193217038,-0.005147772832647811,-0.005147772832647811,0.031997944394871455,0.17080171042498102,0.06606854532333692,-0.111306811666728
