group_type,group,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,recall_ci_low,recall_ci_high
proto,3pc,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,a/n,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,aes-sp3-d,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,any,3,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,3,0.43849391955098227,1.0
proto,argus,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,aris,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,arp,133,1.0,,,,,,0.0,,133,0,0,0,,
proto,ax.25,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,bbn-rcc,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,bna,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,br-sat-mon,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,cbt,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,cftp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,chaos,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,compaq-peer,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,cphb,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,cpnx,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,crtp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,crudp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,dcn,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,ddp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ddx,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,dgp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,egp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,eigrp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,emcon,3,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,3,0.43849391955098227,1.0
proto,encap,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,etherip,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,fc,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,fire,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ggp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,gmtp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,gre,3,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,3,0.43849391955098227,1.0
proto,hmp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,i-nlsp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,iatp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ib,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,idpr,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,idpr-cmtp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,idrp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ifmp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,igmp,24,0.0,0.0,,0.0,,,1.0,,0,24,0,0,,
proto,igp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,il,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ip,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,ipcomp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipcv,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipip,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,iplt,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipnip,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,ippc,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipv6,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,ipv6-frag,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipv6-no,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipv6-opts,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipv6-route,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,ipx-n-ip,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,irtp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,isis,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,iso-ip,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,iso-tp4,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,kryptolan,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,l2tp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,larp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,leaf-1,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,leaf-2,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,merit-inp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,mfe-nsp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,mhrp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,micp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
