,spearman_with_target
sttl,0.701238382967649
ct_state_ttl,0.6816288745360498
dload,-0.5496357877853443
dttl,0.4101880679128512
ct_dst_ltm,-0.40330598882528385
ackdat,0.3905817321016871
ct_srv_dst,-0.3894188105000297
tcprtt,0.3740836577446022
synack,0.3689036985738482
dmean,-0.3649287635403917
ct_src_ltm,-0.32618898820398234
ct_srv_src,-0.31974312917135456
dinpkt,0.3072658285676838
sjit,0.28455834274914343
sinpkt,0.2787026230085459
rate,-0.26956162593585237
dur,0.24685931754380602
sload,-0.24266278635151628
dbytes,-0.22758077935833293
djit,0.2235952098278149
dpkts,-0.20961289500430616
ct_dst_src_ltm,-0.20910531689336706
trans_depth,0.1986343575391779
ct_flw_http_mthd,0.19862898906341475
dloss,-0.174024440240164
ct_dst_sport_ltm,0.17036958947499187
spkts,-0.1484408298445022
sloss,-0.1285783803435455
sbytes,-0.12045785813249302
is_sm_ips_ports,-0.07273767085130374
response_body_len,0.05832217180813571
dwin,0.05431059460112086
dtcpb,0.04345499962430123
swin,0.04131626829684661
stcpb,0.03847586642972064
smean,0.029282841994600736
ct_src_dport_ltm,0.006142320531818041
ct_ftp_cmd,-0.0008849758457565174
is_ftp_login,-0.0008849758457565174
