threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.01,20163,0.8909884441799335,0.8172597273029598,1.0,0.8994418519535181,0.9684263368585021,0.9611430993606485,0.21271653924320139,0.0,8135,2198,0,9830
0.02,20163,0.8941625750136388,0.8216315613507188,1.0,0.9020831421492154,0.9684263368585021,0.9611430993606485,0.20652279105777605,0.0,8199,2134,0,9830
0.03,20163,0.8963447899618112,0.8246644295302014,1.0,0.9039080459770115,0.9684263368585021,0.9611430993606485,0.20226458918029613,0.0,8243,2090,0,9830
0.04,20163,0.8989237712641968,0.8283884018880647,0.999796541200407,0.9060569742786024,0.9684263368585021,0.9611430993606485,0.19703861414884352,0.0002034587995930824,8297,2036,2,9828
0.05,20163,0.9000644745325597,0.8299974664302001,0.999796541200407,0.9070185962807439,0.9684263368585021,0.9611430993606485,0.19481273589470627,0.0002034587995930824,8320,2013,2,9828
0.060000000000000005,20163,0.9012547735951991,0.8317393144308083,0.9996948118006104,0.908015708015708,0.9684263368585021,0.9611430993606485,0.1923933030097745,0.0003051881993896236,8345,1988,3,9827
0.06999999999999999,20163,0.9017507315379656,0.8326693227091634,0.9992878942014242,0.9084015351181394,0.9684263368585021,0.9611430993606485,0.19103842059421272,0.0007121057985757884,8359,1974,7,9823
0.08,20163,0.9018499231265189,0.8328669549732892,0.9991861648016277,0.9084770845858576,0.9684263368585021,0.9611430993606485,0.1907480886480209,0.0008138351983723296,8362,1971,8,9822
0.09,20163,0.9020979020979021,0.8332767690480231,0.9990844354018311,0.908678756476684,0.9684263368585021,0.9611430993606485,0.19016742475563728,0.0009155645981688708,8368,1965,9,9821
0.09999999999999999,20163,0.9020979020979021,0.833446519524618,0.9987792472024415,0.9086534012031466,0.9684263368585021,0.9611430993606485,0.18987709280944545,0.0012207527975584944,8371,1962,12,9818
0.11,20163,0.9022466894807321,0.8338856317444133,0.9983723296032554,0.9087457752673734,0.9684263368585021,0.9611430993606485,0.18919965160166458,0.0016276703967446592,8378,1955,16,9814
0.12,20163,0.9023458810692854,0.8340273646638905,0.9983723296032554,0.9088299300828819,0.9684263368585021,0.9611430993606485,0.18900609697087004,0.0016276703967446592,8380,1953,16,9814
0.13,20163,0.9022962852750087,0.8341268491753103,0.9980671414038658,0.9087625046313449,0.9684263368585021,0.9611430993606485,0.1888125423400755,0.0019328585961342828,8382,1951,19,9811
0.14,20163,0.9022466894807321,0.8341127455148372,0.9979654120040692,0.9087119633180492,0.9684263368585021,0.9611430993606485,0.1888125423400755,0.002034587995930824,8382,1951,20,9810
0.15000000000000002,20163,0.9022466894807321,0.8342264183039891,0.9977619532044761,0.9086950479455228,0.9684263368585021,0.9611430993606485,0.18861898770928096,0.0022380467955239063,8384,1949,22,9808
0.16,20163,0.9022962852750087,0.8343542623787646,0.9976602238046796,0.9087286879169756,0.9684263368585021,0.9611430993606485,0.18842543307848642,0.0023397761953204478,8386,1947,23,9807
0.17,20163,0.9024450726578386,0.8346811951987742,0.9974567650050865,0.9088381146591278,0.9684263368585021,0.9611430993606485,0.18794154650150005,0.00254323499491353,8391,1942,25,9805
