threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.01,20163,0.8920299558597431,0.8186890980261514,1.0,0.9003068187022026,0.9855602781397765,0.9829170824861801,0.2106842156198587,0.0,8156,2177,0,9830
0.02,20163,0.8958488320190447,0.8239731768650461,1.0,0.9034926470588235,0.9855602781397765,0.9829170824861801,0.20323236233426883,0.0,8233,2100,0,9830
0.03,20163,0.8973863016416208,0.8261198420035297,1.0,0.9047816282387593,0.9855602781397765,0.9829170824861801,0.20023226555695345,0.0,8264,2069,0,9830
0.04,20163,0.8982294301443238,0.8273018010435954,1.0,0.9054900515843773,0.9855602781397765,0.9829170824861801,0.19858705119519984,0.0,8281,2052,0,9830
0.05,20163,0.8986757922928136,0.8279289143434684,1.0,0.9058655485416762,0.9855602781397765,0.9829170824861801,0.1977160553566244,0.0,8290,2043,0,9830
0.060000000000000005,20163,0.8990725586470267,0.8284871470712178,1.0,0.9061995851578705,0.9855602781397765,0.9829170824861801,0.19694183683344624,0.0,8298,2035,0,9830
0.06999999999999999,20163,0.8994197292069632,0.8289762185866082,1.0,0.9064920693471044,0.9855602781397765,0.9829170824861801,0.19626439562566533,0.0,8305,2028,0,9830
0.08,20163,0.8996677081783465,0.8293259090525605,1.0,0.9067011022459992,0.9855602781397765,0.9829170824861801,0.195780509048679,0.0,8310,2023,0,9830
0.09,20163,0.9002628577096662,0.8301663710835233,1.0,0.9072031747496655,0.9855602781397765,0.9829170824861801,0.19461918126391173,0.0,8322,2011,0,9830
0.09999999999999999,20163,0.9006100282696028,0.8306574277505493,1.0,0.9074963072378139,0.9855602781397765,0.9829170824861801,0.19394174005613085,0.0,8329,2004,0,9830
0.11,20163,0.9010067946238159,0.8312193472010824,1.0,0.907831547838936,0.9855602781397765,0.9829170824861801,0.19316752153295266,0.0,8337,1996,0,9830
0.12,20163,0.9013539651837524,0.8317116507318724,1.0,0.9081250866090812,0.9855602781397765,0.9829170824861801,0.1924900803251718,0.0,8344,1989,0,9830
0.13,20163,0.9018995189207956,0.8324864498644986,1.0,0.9085867455402532,0.9855602781397765,0.9829170824861801,0.1914255298558018,0.0,8355,1978,0,9830
0.14,20163,0.9022962852750087,0.8330508474576271,1.0,0.908922792417938,0.9855602781397765,0.9829170824861801,0.19065131133262364,0.0,8363,1970,0,9830
0.15000000000000002,20163,0.9026930516292219,0.8336160108548168,1.0,0.9092590879659606,0.9855602781397765,0.9829170824861801,0.18987709280944545,0.0,8371,1962,0,9830
